터널명,터널종류,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지지번주소,터널시작점위도,터널시작점경도,터널종료점위도,터널종료점경도,터널연장,터널폭,터널보도폭,터널높이,차로수,터널준공연도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,터널보수보강내역,터널보수보강비용,중계기종류,터널관리시스템적용여부,관리기관명,관리기관전화번호,데이터기준일자
RAMP-C지하차도,지하차도,02,일반국도,일반국도43호선,43,상행,경기도,화성시,41590,경기도 화성시 진안동 , 37.214302, 127.030520, 37.215378, 127.031394,148.1,7,0,6.3,1,2013,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
평안지하차도,지하차도,99,일반국도,일반국도38호선,38,양방향,경기도,안성시,41550,경기도 안성시 공도읍 진사리, 36.997607, 127.147414, 36.997896, 127.150426,75,9,1,4.8,4,2014,2024-11-29,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주1터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 초월읍 늑현리, 37.372492, 127.314522, 37.373922, 127.308951,530,12.5,2,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주1터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 초월읍 용수리, 37.373706, 127.308662, 37.372114, 127.314594,550,12.5,2,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주2터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 초월읍 학동리, 37.371453, 127.329750, 37.371669, 127.325904,339,12.5,2,8,3,2017,2024-09-16,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주2터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 초월읍 선동리, 37.371281, 127.325869, 37.371090, 127.329751,354,10.5,0,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주3터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 곤지암읍 신대리, 37.371152, 127.333364, 37.371357, 127.330893,224,12.5,2,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주3터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 초월읍 학동리, 37.371025, 127.330733, 37.370864, 127.333306,219,12.5,2,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주4터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 곤지암읍 열미리, 37.366247, 127.352026, 37.370072, 127.339354,1210,12.5,2,8,3,2017,2024-09-16,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주4터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 곤지암읍 신대리, 37.369757, 127.339251, 37.365864, 127.351900,1200,12.5,2,8,3,2017,2024-09-16,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주5터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 곤지암읍 열미리, 37.361137, 127.363956, 37.365201, 127.355035,948,12.5,2,8,3,2017,2024-07-15,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
광주5터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 곤지암읍 열미리, 37.364909, 127.354819, 37.360827, 127.363807,950,12.5,2,8,3,2017,2024-07-15,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
봉현터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 곤지암읍 봉현리, 37.342747, 127.397706, 37.344052, 127.395399,259,12.5,0,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
봉현터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 곤지암읍 봉현리, 37.343747, 127.395138, 37.342460, 127.397411,259,12.5,0,8,3,2017,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
정개터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,이천시,41500,경기도 이천시 신둔면 지석리, 37.324534, 127.417109, 37.338055, 127.403696,1920,12.5,0,8,3,2017,2024-09-16,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
정개터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 곤지암읍 봉현리, 37.337831, 127.403381, 37.324106, 127.416915,1950,12.5,0,8,3,2017,2024-09-16,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
상하터널(상),도로터널,02,일반국도,일반국도42호선,42,상행,경기도,용인시 처인구,41461,경기도 용인시 처인구 삼가동 , 37.244240, 127.155287, 37.247166, 127.149928,585,9.8,1,6.7,2,2018,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
상하터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,경기도,용인시 기흥구,41463,경기도 용인시 기흥구 상하동 , 37.246928, 127.149792, 37.244065, 127.154971,565,9.8,1,6.7,2,2018,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
능안터널(상),도로터널,02,일반국도,일반국도42호선,42,상행,경기도,용인시 처인구,41461,경기도 용인시 처인구 삼가동 , 37.233655, 127.172893, 37.235093, 127.169276,370,9.8,1,6.7,2,2018,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
능안터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,경기도,용인시 처인구,41461,경기도 용인시 처인구 삼가동 , 37.234819, 127.169069, 37.233322, 127.173013,390,9.8,1,6.7,2,2018,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
신기터널(상),도로터널,02,일반국도,일반국도42호선,42,상행,경기도,용인시 처인구,41461,경기도 용인시 처인구 남동 , 37.222130, 127.199170, 37.223950, 127.196747,295,9.8,1,6.7,2,2018,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
신기터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,경기도,용인시 처인구,41461,경기도 용인시 처인구 남동 , 37.223734, 127.196518, 37.221847, 127.198947,295,9.8,1,6.7,2,2018,2024-12-13,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
용현지하차도(상),지하차도,02,일반국도,일반국도3호선,3,상행,경기도,의정부시,41150,경기도 의정부시 용현동 , 37.729725, 127.084784, 37.730817, 127.088092,320,13.4,0,8.5,3,2015,2024-03-17,B,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
용현지하차도(하),지하차도,02,일반국도,일반국도3호선,3,하행,경기도,의정부시,41150,경기도 의정부시 용현동 , 37.730781, 127.088097, 37.729739, 127.084772,320,13.4,0,8.5,3,2015,2024-03-17,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당1터널(상),도로터널,02,일반국도,일반국도6호선,6,상행,경기도,남양주시,41360,경기도 남양주시 와부읍 팔당리, 37.539415, 127.258601, 37.537985, 127.260432,254,10,1.5,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당2터널(상),도로터널,02,일반국도,일반국도6호선,6,상행,경기도,남양주시,41360,경기도 남양주시 와부읍 팔당리, 37.536983, 127.261864, 37.535507, 127.265106,297,10,1.5,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당3터널(상),도로터널,02,일반국도,일반국도6호선,6,상행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.534985, 127.266080, 37.534215, 127.267856,220,10,1.5,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당4터널(상),도로터널,02,일반국도,일반국도6호선,6,상행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.533597, 127.269305, 37.531850, 127.273558,428,10,1.5,6.5,2,1998,2024-09-14,A,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
봉안터널(상),도로터널,02,일반국도,일반국도6호선,6,상행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.531624, 127.274154, 37.530103, 127.282422,722,10,1.5,6.5,2,1998,2024-09-14,B,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
전도치터널(상),도로터널,02,일반국도,일반국도43호선,43,상행,경기도,남양주시,41360,경기도 남양주시 진접읍 내곡리, 37.681628, 127.147323, 37.685475, 127.139644,798,9.5,2,6.6,2,1996,2024-09-15,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
청학터널(상),도로터널,02,일반국도,일반국도43호선,43,상행,경기도,남양주시,41360,경기도 남양주시 별내면 청학리, 37.704917, 127.117864, 37.705922, 127.116021,172.5,9.5,1.5,6.6,2,1996,2024-06-20,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
용문터널(상),도로터널,02,일반국도,일반국도6호선,6,상행,경기도,양평군,41830,경기도 양평군 용문면 삼성리, 37.483754, 127.564690, 37.484020, 127.568299,345,9.8,2.8,6.6,2,1999,2024-11-22,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
마석터널(상),도로터널,01,일반국도,일반국도46호선,46,상행,경기도,남양주시,41360,경기도 남양주시 호평동 , 37.654456, 127.263162, 37.648738, 127.276187,1320,8.6,0,7,2,2005,2024-11-24,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
모란터널(상),도로터널,01,일반국도,일반국도46호선,46,상행,경기도,남양주시,41360,경기도 남양주시 화도읍 창현리, 37.641570, 127.310903, 37.646619, 127.328119,1610,8.6,0,7,2,2005,2024-11-24,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
일동터널(상),도로터널,01,일반국도,일반국도37호선,37,상행,경기도,포천시,41650,경기도 포천시 일동면 길명리, 37.946027, 127.275325, 37.955806, 127.263716,1477,10.5,1.5,7,2,2006,2024-11-17,A,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
이동터널(상),도로터널,02,일반국도,일반국도47호선,47,상행,경기도,포천시,41650,경기도 포천시 이동면 장암리, 38.041073, 127.364012, 38.043597, 127.364913,283,9.1,2.1,6.7,2,2006,2024-09-14,A,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
청평1터널(상),도로터널,02,일반국도,일반국도37호선,37,상행,경기도,가평군,41820,경기도 가평군 청평면 하천리, 37.750514, 127.429698, 37.751216, 127.427529,278.5,7,0,6.7,2,2011,2024-11-17,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
청평2터널(상),도로터널,02,일반국도,일반국도37호선,37,상행,경기도,가평군,41820,경기도 가평군 청평면 하천리, 37.752411, 127.424773, 37.755058, 127.420277,489,7,0,6.7,2,2011,2024-11-17,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
상면터널(상),도로터널,02,일반국도,일반국도37호선,37,상행,경기도,가평군,41820,경기도 가평군 상면 임초리, 37.773916, 127.376639, 37.775293, 127.374109,280,7,0,6.7,2,2011,2024-09-14,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
소래터널(상),도로터널,02,일반국도,일반국도3호선,3,상행,경기도,양주시,41630,경기도 양주시 은현면 용암리, 37.869174, 127.047484, 37.876150, 127.041732,930,7,0,6.9,2,2014,2024-11-24,A,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
호평터널(상),도로터널,02,일반국도,일반국도46호선,46,상행,경기도,남양주시,41360,경기도 남양주시 평내동 , 37.656004, 127.231323, 37.659735, 127.234641,519,9,0.4,6.7,2,2007,2024-06-20,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
부용터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,의정부시,41150,경기도 의정부시 고산동 , 37.732931, 127.092048, 37.738629, 127.099111,870,10.5,0,8.1,3,2015,2024-06-24,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
양주터널(동두천방향),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,의정부시,41150,경기도 의정부시 자일동 , 37.767107, 127.082192, 37.773280, 127.078555,753,10.5,0,8.2,3,2014,2024-06-24,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
장흥터널(상),도로터널,01,일반국도,일반국도39호선,39,상행,경기도,양주시,41630,경기도 양주시 장흥면 일영리, 37.729978, 126.952759, 37.729823, 126.974578,2020,7,0,7,2,2016,2024-09-14,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
울대터널(상),도로터널,02,일반국도,일반국도39호선,39,상행,경기도,양주시,41630,경기도 양주시 장흥면 부곡리, 37.727689, 126.982279, 37.726725, 126.986998,430,7,0,6.7,2,2016,2024-11-24,A,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당1터널(하),도로터널,02,일반국도,일반국도6호선,6,하행,경기도,남양주시,41360,경기도 남양주시 와부읍 팔당리, 37.538172, 127.260707, 37.539820, 127.258613,214,11,2,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당2터널(하),도로터널,02,일반국도,일반국도6호선,6,하행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.535794, 127.265307, 37.537242, 127.262215,308,10,1.5,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당3터널(하),도로터널,02,일반국도,일반국도6호선,6,하행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.534149, 127.268868, 37.535213, 127.266553,161,10,1.5,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
팔당4터널(하),도로터널,02,일반국도,일반국도6호선,6,하행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.532017, 127.273888, 37.533931, 127.269406,350,10,1.5,6.5,2,1998,2024-09-14,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
봉안터널(하),도로터널,02,일반국도,일반국도6호선,6,하행,경기도,남양주시,41360,경기도 남양주시 조안면 능내리, 37.530339, 127.282414, 37.531924, 127.274223,728,10,1.5,6.5,2,1998,2024-09-14,B,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
전도치터널(하),도로터널,02,일반국도,일반국도43호선,43,하행,경기도,남양주시,41360,경기도 남양주시 별내면 광전리, 37.684928, 127.140054, 37.681434, 127.147178,746,9.5,2,6.6,2,1996,2024-09-15,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
청학터널(하),도로터널,02,일반국도,일반국도43호선,43,하행,경기도,남양주시,41360,경기도 남양주시 별내면 청학리, 37.705634, 127.115837, 37.704668, 127.117740,202.5,9.5,2,6.6,2,1996,2024-09-14,A,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
용문터널(하),도로터널,02,일반국도,일반국도6호선,6,하행,경기도,양평군,41830,경기도 양평군 용문면 삼성리, 37.484281, 127.568360, 37.484017, 127.564652,330,9.8,2.8,6.6,2,1999,2024-11-22,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
마석터널(하),도로터널,01,일반국도,일반국도46호선,46,하행,경기도,남양주시,41360,경기도 남양주시 화도읍 녹촌리, 37.649114, 127.276268, 37.654565, 127.263605,1279,8.6,0,7,2,2005,2024-11-24,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
모란터널(하),도로터널,01,일반국도,일반국도46호선,46,하행,경기도,남양주시,41360,경기도 남양주시 화도읍 월산리, 37.646880, 127.328029, 37.641865, 127.310938,1598,8.6,0,7,2,2005,2024-11-24,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
일동터널(하),도로터널,01,일반국도,일반국도37호선,37,하행,경기도,포천시,41650,경기도 포천시 영중면 금주리, 37.955643, 127.263468, 37.945863, 127.275066,1477,10.5,1.5,7,2,2006,2024-11-17,A,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
이동터널(하),도로터널,02,일반국도,일반국도47호선,47,하행,경기도,포천시,41650,경기도 포천시 이동면 장암리, 38.043983, 127.364695, 38.041063, 127.363639,328,9.1,2.1,6.7,2,2006,2024-09-14,A,정밀점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
청평1터널(하),도로터널,02,일반국도,일반국도37호선,37,하행,경기도,가평군,41820,경기도 가평군 청평면 하천리, 37.750928, 127.427397, 37.750195, 127.429560,280.4,7,0,6.7,2,2011,2024-11-17,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
청평2터널(하),도로터널,02,일반국도,일반국도37호선,37,하행,경기도,가평군,41820,경기도 가평군 상면 덕현리, 37.754579, 127.420501, 37.752177, 127.424544,450,7,0,6.7,2,2011,2024-11-17,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
상면터널(하),도로터널,02,일반국도,일반국도37호선,37,하행,경기도,가평군,41820,경기도 가평군 상면 임초리, 37.774825, 127.374198, 37.773650, 127.376558,255,7,0,6.7,2,2011,2024-09-14,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
소래터널(하),도로터널,02,일반국도,일반국도3호선,3,하행,경기도,양주시,41630,경기도 양주시 은현면 선암리, 37.875980, 127.041451, 37.868984, 127.047247,935,7,0,6.9,2,2014,2024-11-24,A,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
호평터널(하),도로터널,02,일반국도,일반국도46호선,46,하행,경기도,남양주시,41360,경기도 남양주시 호평동 , 37.659925, 127.234327, 37.656176, 127.230995,515,8.6,0,6.7,2,2007,2024-06-20,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
부용터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,의정부시,41150,경기도 의정부시 민락동 , 37.738843, 127.098924, 37.734109, 127.092940,710,10.5,0,8.1,3,2015,2024-07-27,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
양주터널(서울1방향),도로터널,02,일반국도,일반국도3호선,3,하행,경기도,양주시,41630,경기도 양주시 광사동 , 37.772791, 127.077966, 37.766915, 127.081444,728,7,0,6.7,2,2014,2024-07-16,A,정밀점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
양주터널(서울2방향),도로터널,02,일반국도,일반국도3호선,3,하행,경기도,양주시,41630,경기도 양주시 광사동 , 37.772890, 127.078250, 37.767095, 127.081694,721,7,0,6.7,2,2014,2024-07-16,A,정밀점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
울대터널(하),도로터널,02,일반국도,일반국도39호선,39,하행,경기도,양주시,41630,경기도 양주시 장흥면 울대리, 37.727038, 126.986819, 37.728054, 126.981984,430,7,0,6.7,2,2016,2024-11-24,A,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
장흥터널(하),도로터널,01,일반국도,일반국도39호선,39,하행,경기도,양주시,41630,경기도 양주시 장흥면 부곡리, 37.730250, 126.974184, 37.730201, 126.952583,1992,7,0,7,2,2016,2024-11-22,B,정기점검,적용,Y,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
우암지하차도,지하차도,03,일반국도,일반국도37호선,37,양방향,경기도,연천군,41800,경기도 연천군 청산면 백의리, 38.022334, 127.126253, 38.022239, 127.126649,40,20,0,0,4,1999,2024-11-24,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
마송지하차도,지하차도,02,일반국도,일반국도48호선,48,양방향,경기도,김포시,41570,경기도 김포시 통진읍 마송리, 37.687811, 126.602222, 37.686987, 126.603541,156.5,17.5,1,5,4,2012,2024-04-28,B,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
주교지하차도,지하차도,99,일반국도,일반국도39호선,39,양방향,경기도,고양시 덕양구,41281,경기도 고양시 덕양구 주교동 , 37.661978, 126.829595, 37.662620, 126.829755,30,8.8,0,5,2,2021,2024-11-24,A,정기점검,미적용,N,,,,N,서울청 의정부사무소,031-820-1761,2024-12-31
