회사명,지식산업센터명,입지,등록일,공장주소,전화번호,팩스번호,종업원,생산품,업종명,데이터기준일자
(주)넷컴코리아,대륭테크노타운 5차,개별입지,2003-04-07,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7477,,10,"POWER SUPPLY, 정류기",기타 주변기기 제조업 외 2 종,2025-10-31
(주)다돌,대륭테크노타운 7차,개별입지,2017-04-13,"서울특별시 금천구 서부샛길 638, 12층 1202 (가산동, 대륭테크노타운7)",02-993-4113,02-992-6383,3,"LED안전봉, 소화기, 호신방범용푸",그 외 기타 플라스틱 제품 제조업 외 2 종,2025-10-31
(주)닥터프리벤트,대륭테크노타운 5차,개별입지,2002-09-16,"서울특별시 금천구 서부샛길 632, 604호 (가산동)",02-2107-7959,,2,의료장비,그 외 기타 의료용 기기 제조업,2025-10-31
(주)대성엘이디,대성 디큐브폴리스,개별입지,2015-07-10,"서울특별시 금천구 서부샛길 606, A동 6층 606 (가산동)",02-861-8840,02-861-8844,3,LED 디스플레이,기타 표시장치 제조업 외 2 종,2025-10-31
(주)대한고열,대륭테크노타운 5차,개별입지,2003-07-02,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2619-4405,,4,공업용오븐,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",2025-10-31
(주)덱스레보,대륭테크노타운 5차,개별입지,2023-02-06,"서울특별시 금천구 서부샛길 632, 5층 505 (가산동, 대륭테크노타운5) 5층 505호",02-6947-3419,02-6947-3420,48,의료기기,그 외 기타 의료용 기기 제조업,2025-10-31
(주)동양센서,대륭테크노타운 5차,개별입지,2020-12-15,"서울특별시 금천구 서부샛길 632, 8층 801 (가산동, 대륭테크노타운5)",02-2107-7710,02-2107-7716,18,온도센서,전자감지장치 제조업 외 2 종,2025-10-31
(주)동우이에프씨,대륭테크노타운 7차,개별입지,2020-01-22,"서울특별시 금천구 서부샛길 638, 7층 703-9 (가산동, 대륭테크노타운7)",02-2602-8983,02-2608-8983,0,LED 등기구,일반용 전기 조명장치 제조업,2025-10-31
(주)두광엠에프지,대륭테크노타운 6차,개별입지,2009-02-20,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2635-4502,02-2635-4503,11,계측기 및 온도센서,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2025-10-31
(주)디라인텍,대륭테크노타운 6차,개별입지,2005-01-26,"서울특별시 금천구 서부샛길 648, 대륭테크노타운 6차 (가산동)",02-2108-5871,,28,하네스,기타 절연선 및 케이블 제조업,2025-10-31
(주)디지옵트론,대륭테크노타운 5차,개별입지,2008-09-16,"서울특별시 금천구 서부샛길 632, 8층 803호 (가산동, 대륭테크노타운5)",02-265-8094,,6,유무선 영상전송 및 네트윅 장비,유선 통신장비 제조업 외 1 종,2025-10-31
(주)랭키스,,개별입지,2009-06-03,서울특별시 금천구 가산로3길 124 (가산동),02-808-0860,,3,전기자전거,모터사이클 제조업,2025-10-31
(주)로닉스,대륭테크노타운 6차,개별입지,2020-03-20,"서울특별시 금천구 서부샛길 648, 9층 903,904,907,908 (가산동, 대륭테크노타운6)",070-4616-1246,070-4325-0299,27,CCTV카메라생산제조,방송장비 제조업 외 1 종,2025-10-31
(주)마이엠텍,,개별입지,2024-10-24,"서울특별시 금천구 서부샛길 606,  외 24필지 (가산동) B동 11층 5호",02-6267-3411,,4,"LED, 디지털사이니지, 관련 소프트웨어",전시 및 광고용 조명장치 제조업,2025-10-31
(주)백담,,개별입지,2022-11-23,"서울특별시 금천구 서부샛길 648, 5층 501호(가산동, 대륭테크노타운6차)",02-2108-4815,,2,혼합음료,기타 비알코올 음료 제조업,2025-10-31
(주)보아에듀,,개별입지,2009-09-15,"서울특별시 금천구 남부순환로 1282 (가산동, 대평빌딩)",02-837-7091,,12,교육교보재,인형 및 장난감 제조업 외 1 종,2025-10-31
(주)비스토스,,개별입지,2002-04-11,서울특별시 금천구 벚꽃로 212 (가산동),02-862-0642,02-862-0644,4,의료기기,전기식 진단 및 요법 기기 제조업,2025-10-31
(주)비앤피이엔지,대륭테크노타운 6차,개별입지,2003-12-04,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5521,02-2108-5520,3,비상콘센트,"전기회로 개폐, 보호장치 제조업 외 2 종",2025-10-31
(주)산호기계,,개별입지,2023-05-03,"서울특별시 금천구 벚꽃로38길 15, 지하1층 일부, 2층 일부 (가산동)",02-864-5947,02-868-8285,17,"라벨부착기, 잉크젯&레이저 마킹기","용기 세척, 포장 및 충전기 제조업 외 1 종",2025-10-31
(주)삼보세운판매,대륭테크노타운 5차,개별입지,2012-03-26,"서울특별시 금천구 서부샛길 632, 8층 803-1 (가산동, 대륭테크노타운5)",02-3273-1235,02-3273-1239,4,컴퓨터모니터,컴퓨터 모니터 제조업 외 1 종,2025-10-31
(주)삼선CSA,,개별입지,2004-02-20,서울특별시 금천구 서부샛길 598 (가산동),02-859-1277,02-854-0986,45,창호,"알루미늄 압연, 압출 및 연신제품 제조업",2025-10-31
(주)세미어패럴,대륭테크노타운 6차,개별입지,2003-08-01,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2632-6963,02-2672-5225,20,여성의류,여자용 겉옷 제조업,2025-10-31
(주)세원이엔지,대륭테크노타운 6차,개별입지,2004-02-12,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5561,02-2108-5560,6,초정밀다이세트,주형 및 금형 제조업,2025-10-31
(주)세이벤,대성 디큐브폴리스,개별입지,2014-04-10,"서울특별시 금천구 서부샛길 606, B동 24층 2406 (가산동)",02-861-8300,02-861-8302,5,LED 조명,일반용 전기 조명장치 제조업,2025-10-31
(주)송우테크놀러지,대성 디큐브폴리스,개별입지,2018-12-05,"서울특별시 금천구 서부샛길 606, B동 15층 1508 (가산동)",02-861-9820,02-861-9825,0,출입통제용 주장치 및 단말장치,기타 주변기기 제조업,2025-10-31
(주)스마트비전텍,대륭테크노타운 6차,개별입지,2018-03-19,"서울특별시 금천구 서부샛길 648, 10층 1006호 (가산동, 대륭테크노타운6)",02-868-3444,02-868-3448,9,비전검사장비,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2025-10-31
(주)신양,대륭테크노타운 6차,개별입지,2017-04-13,"서울특별시 금천구 서부샛길 648, 10층 1003 (가산동, 대륭테크노타운6)",02-865-9223,,11,LED조명기구,일반용 전기 조명장치 제조업,2025-10-31
(주)씨에스텍솔루션,대성 디큐브폴리스,개별입지,2018-10-16,"서울특별시 금천구 서부샛길 606, B동 19층 1910호 (가산동)",02-861-8226,02-861-8227,2,의료기기,그 외 기타 의료용 기기 제조업,2025-10-31
(주)씨에스포유앤이,대륭테크노타운 6차,개별입지,2016-09-27,"서울특별시 금천구 서부샛길 648, 11층 1107 (가산동, 대륭테크노타운6)",070-4035-6018,070-4032-6033,6,"보안용 감지기, 영상감시장치",유선 통신장비 제조업 외 1 종,2025-10-31
(주)아이앤에스프로오디오,,개별입지,2006-07-12,"서울특별시 금천구 서부샛길 648, 대륭테크노타운6차 802호 (가산동)",02-862-0841,02-862-6844,4,스피커,기타 음향기기 제조업 외 1 종,2025-10-31
(주)아이티스퀘어,대륭테크노타운 7차,개별입지,2016-06-29,"서울특별시 금천구 서부샛길 638, 10층 1001 (가산동, 대륭테크노타운7)",031-427-7603,031-427-7604,14,PLC통신 관련 제품,유선 통신장비 제조업 외 2 종,2025-10-31
(주)얀네트,대륭테크노타운 7차,개별입지,2010-06-24,"서울특별시 금천구 서부샛길 638, 9층 901호 (가산동, 대륭테크노타운7)",02-3473-1343,02-3486-1343,19,여성정장 및 봉제의류 등,여자용 겉옷 제조업 외 12 종,2025-10-31
(주)에스지메카트로닉스,대륭테크노타운 6차,개별입지,2015-05-27,"서울특별시 금천구 서부샛길 648, 10층 1005 (가산동, 대륭테크노타운6)",02-6267-0155,02-6267-0156,1,"지능형 로봇, 지능형 로봇부품",산업용 로봇 제조업,2025-10-31
(주)에이디씨엔아이,대성 디큐브폴리스,개별입지,2013-01-22,"서울특별시 금천구 서부샛길 606, 10층 1009 (가산동, 기사대기실)",02-861-8630,,7,자전거무인거치대,기타 전기 변환장치 제조업 외 1 종,2025-10-31
(주)에이아이티에스,대륭테크노타운 5차,개별입지,2011-07-20,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5) 외 1필지",02-6247-6247,02-6247-6240,5,전자제품,그 외 기타 전자부품 제조업 외 3 종,2025-10-31
(주)에즈윈아이피씨,,개별입지,2021-12-30,"서울특별시 금천구 서부샛길 632, 903호(가산동, 대륭테크노타운5차)",02-718-0114,02-714-7025,0,산업용 컴퓨터,컴퓨터 제조업,2025-10-31
(주)에프게이트,대륭테크노타운 5차,개별입지,2007-06-19,"서울특별시 금천구 서부샛길 632, 6층 605호 (가산동, 대륭테크노타운5)",02-858-8740,02-858-8743,6,오픈프레임,액정 표시장치 제조업 외 1 종,2025-10-31
(주)엔이티,,개별입지,2015-09-21,"서울특별시 금천구 서부샛길 622, 1층, 4층 (가산동)",02-3663-8400,02-3663-8410,14,무정전전원장치,기기용 자동측정 및 제어장치 제조업 외 2 종,2025-10-31
(주)엘레파츠,대성 디큐브폴리스,개별입지,2018-11-06,"서울특별시 금천구 서부샛길 606, A동 5층 508,509,510,518호 (가산동)",070-7596-9114,02-861-8749,21,"전자부품,디자인키트,마이크로프로세서",그 외 기타 전자부품 제조업 외 1 종,2025-10-31
(주)엘에스지엠,대륭테크노타운 5차,개별입지,2016-08-08,"서울특별시 금천구 서부샛길 632, 1층 101-1 (가산동, 대륭테크노타운5)",02-2107-7870,02-2107-7875,5,"동력전달장치, 기어, 감속기, 산업기계",기어 및 동력전달장치 제조업,2025-10-31
(주)오조패션,,개별입지,2013-12-02,"서울특별시 금천구 시흥대로153길 59, C-301 (가산동, 서울반도체(주))",02-2038-2066,070-4855-2067,50,"기성복(남,여,소아)","근무복, 작업복 및 유사의복 제조업 외 3 종",2025-10-31
(주)오토스광학,,개별입지,2004-05-06,서울특별시 금천구 두산로11길 49 (가산동),02-862-8000,02-869-3333,49,"산업용 보안경, 의류봉제",정형외과용 및 신체보정용 기기 제조업 외 4 종,2025-10-31
(주)오토스윙,,개별입지,2016-05-19,서울특별시 금천구 두산로11길 49 (가산동),02-809-9999,,17,산업용 안전장비(전동식호흡보호구 등),기체 여과기 제조업 외 3 종,2025-10-31
(주)오투시스,대성 디큐브폴리스,개별입지,2013-02-15,"서울특별시 금천구 서부샛길 606, B동 B1층 134 (가산동, 기사대기실)",070-8680-2917,,3,배전반 및 전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)옵토메카,대륭테크노타운 5차,개별입지,2003-03-25,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7707,,10,micro lens,안경 및 안경렌즈 제조업 외 1 종,2025-10-31
(주)원진정밀,,개별입지,2005-03-28,서울특별시 금천구 가산로5길 78 (가산동),02-868-8446,,29,금형,주형 및 금형 제조업,2025-10-31
(주)웨이브시스텍,대륭테크노타운 6차,개별입지,2004-10-08,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5200,02-2108-5205,9,전자파 장해 및 내성실험 외,"전자코일, 변성기 및 기타 전자 유도자 제조업",2025-10-31
(주)윈커스코리아,대성 디큐브폴리스,개별입지,2016-08-12,"서울특별시 금천구 서부샛길 606, B동 17층 1705 (가산동)",02-861-8171,02-861-8191,5,전기자전거,모터사이클 제조업,2025-10-31
(주)유텍엔지니어링,대륭테크노타운 5차,개별입지,2010-02-03,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7855,,6,"CCTV, 카메라",유선 통신장비 제조업,2025-10-31
(주)이노테크미디어,,개별입지,2023-11-09,"서울특별시 금천구 벚꽃로 214, 지하1층 (가산동)",02-853-5042,02-853-5045,17,실물모형,놀이터용 장비 제조업 외 6 종,2025-10-31
(주)이로닉스,대성 디큐브폴리스,개별입지,2019-01-02,"서울특별시 금천구 서부샛길 606, B동 16층 1611 (가산동)",02-861-0968,02-861-0969,4,CCTV 보안카메라,방송장비 제조업,2025-10-31
(주)이안피씨,대륭테크노타운 7차,개별입지,2011-03-23,"서울특별시 금천구 서부샛길 638, 대륭테크노타운 7차 803호 (가산동)",070-7116-2670,02-856-2556,0,컴퓨터,컴퓨터 제조업 외 3 종,2025-10-31
(주)이티에이,대륭테크노타운 7차,개별입지,2004-06-02,"서울특별시 금천구 서부샛길 638 (가산동, 대륭테크노타운7)",02-2108-4521,02-2108-4320,6,콘트롤박스,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)제이투글로벌,,개별입지,2013-10-29,"서울특별시 금천구 가산로7길 63, 백성빌딩 501호 (가산동)",02-563-4073,02-563-4074,3,"작업복, 근무복 등","근무복, 작업복 및 유사의복 제조업 외 6 종",2025-10-31
(주)젤컴,,개별입지,2005-08-19,서울특별시 금천구 가산로5길 72 (가산동),02-837-9102,02-865-0259,7,디지털도어록,비디오 및 기타 영상기기 제조업 외 1 종,2025-10-31
(주)조은페이퍼,,개별입지,2006-12-05,서울특별시 금천구 벚꽃로24길 14-14 (가산동),02-858-8558,02-858-8093,2,일반인쇄물,경 인쇄업 외 3 종,2025-10-31
(주)지디컴,대륭테크노타운 5차,개별입지,2002-09-12,"서울특별시 금천구 서부샛길 632, 101호 (가산동)",02-2107-7700,,25,"컴퓨터,통신기기",컴퓨터 제조업,2025-10-31
(주)지성테크,대륭테크노타운 7차,개별입지,2015-10-01,"서울특별시 금천구 서부샛길 638, 1층 101호 (가산동, 대륭테크노타운7)",02-2108-5170,,20,"전자부품,모터시작품",일반철물 제조업 외 4 종,2025-10-31
(주)지오피아,,개별입지,2002-10-25,"서울특별시 금천구 서부샛길 632, 대륭테크노타운 5차 (가산동)",02-786-8200,,18,"솔류션, 서버",기타 주변기기 제조업,2025-10-31
(주)진성티앤피,대륭테크노타운 5차,개별입지,2020-11-19,"서울특별시 금천구 서부샛길 632 (가산동) 대륭테크노타운5차 B105호, B110호",02-865-9516,02-837-5209,19,"하우징, 멈춤링, 나사, 손잡이, 덮개 외",무기 및 총포탄 제조업 외 4 종,2025-10-31
(주)진원메디칼,대륭테크노타운 6차,개별입지,2003-07-02,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5090,02-2108-5093,8,저주파자극기,전기식 진단 및 요법 기기 제조업,2025-10-31
(주)차바,대륭테크노타운 5차,개별입지,2003-03-15,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7722,,4,귀금속장신구,귀금속 및 관련제품 제조업,2025-10-31
(주)창공이앤씨,,개별입지,2008-01-02,"서울특별시 금천구 서부샛길 632, 대륭테크노타운 5차 301호 (가산동)",02-712-6796,,10,RPC 센서 및 조립,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
(주)캔우,대륭테크노타운 7차,개별입지,2008-02-12,"서울특별시 금천구 서부샛길 638, 6층 603호 (가산동, 대륭테크노타운7)",02-3666-6006,,5,케이블어셈블리,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
(주)태림패션월드,,개별입지,2008-01-10,"서울특별시 금천구 두산로5길 48, 3층 (가산동)",02-830-6761,02-830-6728,15,의류,여자용 겉옷 제조업 외 8 종,2025-10-31
(주)테이블미디어,대성 디큐브폴리스,개별입지,2017-04-18,"서울특별시 금천구 서부샛길 606, B3층 312 (가산동)",02-2038-8738,02-2038-8739,2,"파워테이블, 접이식파워테이블, 테이블보드",금속 가구 제조업,2025-10-31
(주)톱쥬얼리,대륭테크노타운 5차,개별입지,2005-10-18,"서울특별시 금천구 서부샛길 632, 대륭테크노타운 5차 605호 (가산동)",02-853-8286,02-853-8288,28,귀금속 장신구,귀금속 및 관련제품 제조업,2025-10-31
(주)티앤에스모터스,대성 디큐브폴리스,개별입지,2012-11-28,"서울특별시 금천구 서부샛길 606, A동 21층 2101 (가산동, 기사대기실)",02-6334-4287,,5,"전기자전거,기어및무동력 구동장치",기어 및 동력전달장치 제조업,2025-10-31
(주)팀텍,대륭테크노타운 7차,개별입지,2007-08-22,"서울특별시 금천구 서부샛길 638, 8층 803호 (가산동, 대륭테크노타운7)",02-3273-8293,,4,엘시디 모니터 제조,컴퓨터 모니터 제조업,2025-10-31
(주)파미르,대성 디큐브폴리스,개별입지,2017-11-17,"서울특별시 금천구 서부샛길 606, B동 B2층 205호 (가산동)",02-861-8898,02-861-8866,2,게임기기 영상저장 장치,비디오 및 기타 영상기기 제조업,2025-10-31
(주)파워프라자,,개별입지,2019-11-18,"서울특별시 금천구 서부샛길 648, 대륭테크노타운6차 1401,1402,1406호 (가산동)",02-855-4955,02-855-4954,45,전원공급장치(S.M.P.S),기타 전기 변환장치 제조업 외 3 종,2025-10-31
(주)파텍코퍼레이션,대륭테크노타운 6차,개별입지,2019-04-30,"서울특별시 금천구 서부샛길 648, 7층 708호 (가산동, 대륭테크노타운6)",02-2108-5577,02-2108-5488,20,코팅장비,그 외 기타 특수목적용 기계 제조업,2025-10-31
(주)팬탑코리아,대성 디큐브폴리스,개별입지,2014-09-01,"서울특별시 금천구 서부샛길 606, 4층 431 (가산동)",02-6959-5088,02-6919-0379,10,청풍기,산업용 송풍기 및 배기장치 제조업,2025-10-31
(주)퓨전비티,대륭테크노타운 5차,개별입지,2003-02-13,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7755,,8,생물학제제,생물학적 제제 제조업,2025-10-31
(주)프로익스,대륭테크노타운 6차,개별입지,2020-06-09,서울특별시 금천구 서부샛길 648 (가산동) 대륭테크노타운6차,070-4006-7895,070-4009-0475,10,코팅장비,그 외 기타 특수목적용 기계 제조업,2025-10-31
(주)한국옵티마,,개별입지,2010-02-22,"서울특별시 금천구 가산로3길 78, 3층 (가산동)",070-8240-2622,02-830-6250,3,"LED 조명, 계측기",일반용 전기 조명장치 제조업 외 1 종,2025-10-31
(주)휴버트,대륭테크노타운 6차,개별입지,2020-06-01,서울특별시 금천구 서부샛길 648 (가산동) 대륭테크노타운6,02-837-0815,02-837-0816,3,혼합음료,기타 비알코올 음료 제조업,2025-10-31
(주)히트인덕션,대륭테크노타운 6차,개별입지,2018-01-30,"서울특별시 금천구 서부샛길 648, 13층 1307호 (가산동, 대륭테크노타운6)",02-542-5554,02-868-4553,9,전기레인지(인덕션),주방용 전기기기 제조업,2025-10-31
EM실천,대륭테크노타운 6차,개별입지,2020-02-13,"서울특별시 금천구 서부샛길 648, 10층 1004호,1009호 (가산동)",02-875-9744,02-875-9965,36,인쇄물,경 인쇄업 외 1 종,2025-10-31
JEA,,개별입지,2017-12-27,"서울특별시 금천구 두산로9길 83, 3층 (가산동, (주)한동공업)",02-857-5689,02-857-5687,12,니트 의류,편조의복 제조업,2025-10-31
TAC엔지니어링,대륭테크노타운 7차,개별입지,2003-09-26,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5636,02-2108-5638,8,기체여과기,기체 여과기 제조업 외 1 종,2025-10-31
갑을장애인직업휴먼센터,,개별입지,2013-04-08,"서울특별시 금천구 두산로3길 50, 1층 (가산동)",02-864-8585,,7,인쇄용및필기용 원지제조업,인쇄용 및 필기용 원지 제조업 외 1 종,2025-10-31
경원엔지니어링,,개별입지,2009-09-29,"서울특별시 금천구 서부샛길 638, 대륭테크노타운 7차 1002호 (가산동)",02-2108-4823,02-2108-4824,6,환경계측기,산업처리공정 제어장비 제조업 외 2 종,2025-10-31
관음음향연구원,대륭테크노타운 5차,개별입지,2005-08-18,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-859-1950,,4,"음향기기, 음반",기타 음향기기 제조업 외 1 종,2025-10-31
근화물산,,개별입지,2003-03-25,"서울특별시 금천구 두산로9길 83 (가산동, (주)한동공업)",02-865-6676,,34,여성의류,여자용 겉옷 제조업,2025-10-31
나노테스,대륭테크노타운 7차,개별입지,2004-05-14,"서울특별시 금천구 서부샛길 638 (가산동, 대륭테크노타운7)",02-2108-4541,02-2108-4540,18,캐리어테잎,플라스틱 필름 제조업 외 1 종,2025-10-31
뉴마테크,대륭테크노타운 6차,개별입지,2005-09-06,"서울특별시 금천구 서부샛길 648, 대륭테크노타운 6차 1002호 (가산동)",02-2108-5431,02-2108-5433,3,반도체부품,발광 다이오드 제조업 외 1 종,2025-10-31
다나기획,,개별입지,2016-05-10,"서울특별시 금천구 서부샛길 702, 1층 (가산동, 조광출판인쇄(주))",02-859-5358,02-859-5356,10,"인쇄, 제본, 지류, 판촉물",기타 인쇄업 외 1 종,2025-10-31
다비모드(주),,개별입지,2013-05-13,"서울특별시 금천구 가산로7길 63, 5층 502호 (가산동)",02-3445-6424,,3,유니폼,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-10-31
다빈치케이(주),대성 디큐브폴리스,개별입지,2014-11-28,"서울특별시 금천구 서부샛길 606, B동 16층 1603-3 (가산동)",02-6268-0835,02-6268-0838,3,화상이미지 분석시스템,"물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-10-31
다빈치케이(주),대성 디큐브폴리스,개별입지,2021-07-28,"서울특별시 금천구 서부샛길 606, 332-1호(가산동, 대성디폴리스지식산업센터)",02-6268-0835,02-6268-0838,3,바이오 이미징,"물질 검사, 측정 및 분석기구 제조업 외 4 종",2025-10-31
대양무역,대륭테크노타운 5차,개별입지,2002-09-16,"서울특별시 금천구 서부샛길 632, 504호 (가산동)",02-2107-7690,02-2107-7693,9,가방,가방 및 기타 보호용 케이스 제조업,2025-10-31
대일정공,대륭테크노타운 5차,개별입지,2003-06-12,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-838-7510,,3,금형다이스,주형 및 금형 제조업,2025-10-31
대정창고,,개별입지,1991-01-15,서울특별시 금천구 가산로9길 9 (가산동),02-853-3736,02-862-4026,13,산업용 냉장고,산업용 냉장 및 냉동 장비 제조업,2025-10-31
대진기업,,개별입지,2010-02-02,"서울특별시 금천구 두산로9길 83 (가산동, (주)한동공업)",02-856-4390,02-866-6494,72,실물 설명용 모형,폴리스티렌 발포 성형제품 제조업 외 1 종,2025-10-31
대평산업,,개별입지,2004-03-17,"서울특별시 금천구 남부순환로 1282 (가산동, 대평빌딩)",02-858-7627,02-858-7628,18,쉐타,편조의복 제조업 외 1 종,2025-10-31
덕천와이어컷팅,,개별입지,2004-06-14,서울특별시 금천구 벚꽃로 332 (가산동),02-851-6404,,2,금형부문,주형 및 금형 제조업,2025-10-31
동강어패럴,,개별입지,2008-02-26,"서울특별시 금천구 벚꽃로56길 72, B1F (가산동)",02-3281-1802,,5,여성의류,여자용 겉옷 제조업,2025-10-31
두산방전,,개별입지,2002-06-19,"서울특별시 금천구 두산로11길 65 (가산동, 부속)",02-866-6901,,3,방전임가공,주형 및 금형 제조업,2025-10-31
두인샤프트,대륭테크노타운 5차,개별입지,2003-04-11,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7968,,5,플레이샤프트,유압기기 제조업,2025-10-31
마스터코리아,,개별입지,2018-06-05,서울특별시 금천구 가산디지털1로 181 (가산동) W center 10층 1010호 외 1필지,02-2636-0369,,7,"전자부품, 광학센서","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2025-10-31
마이크로인스펙션(주),대륭테크노타운 7차,개별입지,2011-05-06,"서울특별시 금천구 서부샛길 638, 2층 201호 (가산동)",02-2108-4620,02-2108-4621,51,평판디스플에이검사장비,디스플레이 제조용 기계 제조업,2025-10-31
메이저웍스 주식회사,대성 디큐브폴리스,개별입지,2020-01-29,"서울특별시 금천구 서부샛길 606, A동 20층 2005 (가산동)",02-861-9386,02-861-9388,5,LoRa Module외,기타 무선 통신장비 제조업,2025-10-31
모빌렉스,대륭테크노타운 5차,개별입지,2003-04-09,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7945,,4,통신기기,기타 무선 통신장비 제조업,2025-10-31
미건아트텍,대륭테크노타운 6차,개별입지,2011-10-25,"서울특별시 금천구 서부샛길 648, 대륭테크노타워6차 707호 (가산동)",02-858-7527,02-855-7527,6,전시 교시용 모형,전시용 모형 제조업,2025-10-31
벨리나(Belinna),대성 디큐브폴리스,개별입지,2015-04-15,"서울특별시 금천구 서부샛길 606, A동 4층 410 (가산동)",02-865-3110,02-861-8110,4,미용기기,비 및 솔 제조업,2025-10-31
보인플러스텍(주),대륭테크노타운 5차,개별입지,2006-03-08,"서울특별시 금천구 서부샛길 632, 501호 (가산동)",02-2107-7251,02-2107-7255,6,전자부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
블라인드샵,,개별입지,2011-01-24,서울특별시 금천구 가산로 89 (가산동),02-535-7866,02-859-6515,4,"블라인드, 실사",커튼 및 유사제품 제조업,2025-10-31
사회복지법인애국단체원,,개별입지,2010-02-03,서울특별시 금천구 남부순환로108길 11-15 (가산동),02-3281-4742,,35,전시물,전시용 모형 제조업 외 2 종,2025-10-31
삼익섬유공업(주),,개별입지,1989-03-30,"서울특별시 금천구 두산로9가길 26 (가산동, (주)국제상역엔지니어링)",02-856-4695,02-864-0681,19,레이스면사,그 외 기타 분류 안된 섬유제품 제조업,2025-10-31
