회사명,주소,업종,업종코드,생산품,전화번호,데이터기준일자
한솔정밀,"서울특별시 성북구 오패산로1가길 24, 1층 (하월곡동)",주형 및 금형 제조업,29294,금형제작,02-2292-1116,2020-10-01
유투,"서울특별시 성북구 화랑로33가길 20, 1층 (장위동)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,유아용 의복 제조업,그 외 기타 봉제의복 제조업",141911411114112000000000000000,의류,,2020-10-01
사단법인해오름장애인협회,"서울특별시 성북구 돌곶이로 97, 3층 (장위동, 우성빌딩)","방송장비 제조업,기타 무선 통신장비 제조업,라디오, 녹음 및 재생 기기 제조업,기타 음향기기 제조업",26421264292652100000,방송장비 외 3종,02-943-4466,2020-10-01
인쇄와디자인,"서울특별시 성북구 인촌로 106, 1층 (안암동5가)",제판 및 조판업,18121,책자,02-957-7744,2020-10-01
주식회사 미래에프앤씨,"서울특별시 성북구 동소문로 280, 2층 (하월곡동, 고려빌딩)","편조의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업",14300141111411200000,스웨터,02-983-4540,2020-10-01
주식회사 라이프온,"서울특별시 성북구 동소문로26가길 39, 지하1층 (동선동3가)",화장품 제조업,20423,화장품,02-1577-5907,2020-10-01
창건사,"서울특별시 성북구 보국문로16길 74-7,  (지층) (정릉동)",편조의복 제조업,14300,니트,02-914-0140,2020-10-01
거성전기,"서울특별시 성북구 장위로 167,  (2층) (장위동)","그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,휴즈,02-919-1742,2020-10-01
삼성피복사,서울특별시 성북구 인촌로12길 48 (안암동3가),"셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업",14191141111411200000,유니폼,02-927-7927,2020-10-01
새시대식품공업(공),"서울특별시 성북구 화랑로 202,  223호 (석관동)",수산식물 가공 및 저장 처리업,10220,오징어가공,02-962-6271,2020-10-01
명세침장산업(주),서울특별시 성북구 동선동5가 111번지 (지층),"침구 및 관련제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업",13221141111411200000,침구류,02-923-0493,2020-10-01
(주)경동직물,"서울특별시 성북구 종암로14길 20-28 (종암동, 청신한의원)","근무복, 작업복 및 유사의복 제조업,침구 및 관련제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,속옷 및 잠옷 제조업,셔츠 및 블라우스 제조업,그 외 기타 봉제의복 제조업,편조의복 제조업,모자 제조업,세탁물 공급업",14192132211411100000000000000000000000000000000000,환자복,02-915-2081,2020-10-01
(주)금잔디음향,"서울특별시 성북구 북악산로 913,  풍림(아) 상가 101~102, 105호 (돈암동)",기타 음향기기 제조업,26529,스피커시스템,02-953-0940,2020-10-01
(주)벨모나,"서울특별시 성북구 한천로 553,  2층 (석관동)",화장품 제조업,20423,화장품,070-8244-4707,2020-10-01
주식회사 에스엔케이미디어,"서울특별시 성북구 오패산로3길 47,  2층 제1호 (하월곡동)","방송장비 제조업,비디오 및 기타 영상기기 제조업,기타 음향기기 제조업,에너지 저장장치 제조업,기타 전기 변환장치 제조업,전시 및 광고용 조명장치 제조업",264212651926529000000000000000,방송장비,02-3296-2271,2020-10-01
(주)모락,"서울특별시 성북구 한천로 591,  2층 (석관동)","그 외 기타 고무제품 제조업,시계 및 시계부품 제조업",2219927400,"시계, 휴대용음식용기,",02-965-3660,2020-10-01
킴블스,"서울특별시 성북구 종암로 56, 고려상가 다동 214호 (종암동)","자수제품 및 자수용재료 제조업,섬유제품 기타 정리 및 마무리 가공업",1322213409,자수제품 및 자수용재료,02-6959-8557,2020-10-01
한국시덴타,"서울특별시 성북구 오패산로5길 9-12, 3층 (하월곡동)",의료용품 및 기타 의약 관련제품 제조업,21300,"치분,치약",02-942-2833,2020-10-01
디앤디,"서울특별시 성북구 돌곶이로 152, 2층 (장위동)","근무복, 작업복 및 유사의복 제조업,침구 및 관련제품 제조업,천막, 텐트 및 유사 제품 제조업,기타 직물제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,속옷 및 잠옷 제조업,셔츠 및 블라우스 제조업,가죽의복 제조업,그 외 기타 봉제의복 제조업,편조의복 제조업,기타 편조의복 액세서리 제조업,그 외 기타 의복액세서리 제조업",14192132211322400000000000000000000000000000000000000000000000000,의류,02-942-2585,2020-10-01
웰스씨앤티 주식회사,"서울특별시 성북구 개운사길 57-3, 3층 (안암동5가)","일반용 전기 조명장치 제조업,기타 무선 통신장비 제조업,배전반 및 전기 자동제어반 제조업,운송장비용 조명장치 제조업,전시 및 광고용 조명장치 제조업,기타 조명장치 제조업",284222642928123000000000000000,조명제어장치,02-2676-4888,2020-10-01
(주)동산실업,서울특별시 성북구 선잠로 12-11 (성북동),정형외과용 및 신체보정용 기기 제조업,27192,기도형 보청기,02-533-0114,2020-10-01
서진섬유,"서울특별시 성북구 화랑로21길 21,  2층 (상월곡동)","근무복, 작업복 및 유사의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,속옷 및 잠옷 제조업,셔츠 및 블라우스 제조업",1419214111141120000000000,"유치원체육복, 초등학교체육복",02-912-5940,2020-10-01
남도섬유,서울특별시 성북구 장위로40다길 17 (장위동),속옷 및 잠옷 제조업,14120,내의류,02-919-3325,2020-10-01
한메딕스주식회사,서울특별시 성북구 안암동5가 126-16번지 산학관 310호 (3층),그 외 기타 의료용 기기 제조업,27199,의료기기,02-924-3445,2020-10-01
성지패션,"서울특별시 성북구 장월로1길 79,  3층 (하월곡동)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업,그 외 기타 의복액세서리 제조업",141911411114112000000000000000,"근무복, 의류",02-2273-6822,2020-10-01
주식회사 석림랩텍,"서울특별시 성북구 북악산로 795-6,  지하1층 (정릉동)","운송장비 조립용 플라스틱제품 제조업,기타 기계.장비 조립용 플라스틱 제품 제조업",2224122249,폐용액 수거용 용기 가공,02-911-4114,2020-10-01
(주)서진나우,"서울특별시 성북구 장위로 53 (장위동, 평구빌딩)","남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업,그 외 기타 의복액세서리 제조업",141111411214191000000000000000,남성용 정장 의류,02-911-7771,2020-10-01
대한니트,서울특별시 성북구 솔샘로9길 4-15 (정릉동),편조의복 제조업,14300,편조의복,02-942-8840,2020-10-01
주식회사 삼성와캠프컴퍼니,"서울특별시 성북구 동소문로34길 24, 상가B동 402호 (돈암동, 돈암동 삼성아파트)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",1419114111141120000000000,의류(기능성 스포츠 의류),070-7787-0423,2020-10-01
주식회사 필드큐어,"서울특별시 성북구 안암로 145, B동 4층 72호 하나과학관 (안암동5가, 고려대학교)","그 외 기타 의료용 기기 제조업,기계 및 장비 중개업,의료기기 도매업,그 외 기타 종합 소매업",27199461064659200000,전기장 암 치료시스템,02-3290-5651,2020-10-01
(주)세진플러스,서울특별시 성북구 돌곶이로27길 35-5 (장위동),"그 외 기타 봉제의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,속옷 및 잠옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,유아용 의복 제조업,편조의복 제조업",1419914111141120000000000000000000000000,의류,02-909-6222,2020-10-01
근정 & H.F 산업,서울특별시 성북구 북악산로 825-22 (정릉동),"플라스틱 포대, 봉투 및 유사제품 제조업,가방 및 기타 보호용 케이스 제조업,문구용 종이제품 제조업,스크린 인쇄업",22231151291790100000,로고제작,02-917-9909,2020-10-01
두원실업,"서울특별시 성북구 장월로23길 25-2,  (1,지층) (장위동)",속옷 및 잠옷 제조업,14120,내의류,02-917-9140,2020-10-01
(주)도시환경애드,"서울특별시 성북구 보문로31길 24,  (1층) (삼선동5가)",간판 및 광고물 제조업,33910,간판,02-928-9363,2020-10-01
(주)제일티유에스,"서울특별시 성북구 삼양로 33,  외 4필지(지1층) (길음동)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,가죽의복 제조업,유아용 의복 제조업,그 외 기타 봉제의복 제조업,기타 편조의복 액세서리 제조업,모자 제조업,그 외 기타 의복액세서리 제조업",14191141111411200000000000000000000000000000000000,"작업복, 근무복",02-912-8076,2020-10-01
진광실업,서울특별시 성북구 종암로14길 19 (종암동),"자수제품 및 자수용재료 제조업,섬유제품 기타 정리 및 마무리 가공업",1322213409,자수제품,02-914-0320,2020-10-01
(주)세원애드,서울특별시 성북구 삼선교로16길 56 (삼선동2가),간판 및 광고물 제조업,33910,광고물,02-747-8830,2020-10-01
(주)아이앤씨스,"서울특별시 성북구 화랑로 169,  2층 (상월곡동)",간판 및 광고물 제조업,33910,"현수막, 광고물",02-941-7482,2020-10-01
(주)삼성이앤씨,"서울특별시 성북구 동소문로34길 24,  돈암삼성아파트 제비상가 405호 (돈암동)","경 인쇄업,오프셋 인쇄업,기타 인쇄업,제책업,기록매체 복제업,전시용 모형 제조업,잡지 및 정기간행물 발행업",18111181131811900000000000000000000,"인쇄,책,인쇄물(경인쇄)",02-909-8338,2020-10-01
(주)로보코,"서울특별시 성북구 인촌로 105,  고려대학교 자연계캠퍼스 산학관 203-2호 (안암동5가)",기타 주변기기 제조업,26329,로봇부품,02-926-6916,2020-10-01
(주)한국에스알테크,"서울특별시 성북구 성북로5길 25,  지층 (성북동1가)","비디오 및 기타 영상기기 제조업,기타 음향기기 제조업",2651926529,스피커 유닛,02-764-6180,2020-10-01
(주)시큐어닉스,"서울특별시 성북구 화랑로14길 5, 한국과학기술원 H-1, 922에이비호 (하월곡동)",전기경보 및 신호장치 제조업,28901,전자보안,02-766-0850,2020-10-01
예성모드,"서울특별시 성북구 안암로 27, 3층 (안암동4가, 승지빌딩)","근무복, 작업복 및 유사의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업",141921411114112,의류,02-921-3546,2020-10-01
(주)상승피에프,서울특별시 성북구 아리랑로19나길 14 (정릉동),"간판 및 광고물 제조업,기타 직물제품 제조업,그 외 기타 봉제의복 제조업,그 외 기타 의복액세서리 제조업",33910132291419900000,"현수막,간판,안내표시판 등",02-943-0734,2020-10-01
비젼트리주식회사,서울특별시 성북구 동소문동4가  39-2 백호빌딩 B 102호,"유선 통신장비 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업",264102629526299,유 통신장비,02-2678-0482,2020-10-01
디씨티엔지니어링 주식회사,"서울특별시 성북구 안암로9가길 76, 제헌빌딩 4층 (안암동5가, 안암복합빌딩)","물질 검사, 측정 및 분석기구 제조업,환경설비 건설업",2721341224,환경측정기기,02-6336-0808,2020-10-01
(주)비천,"서울특별시 성북구 화랑로14길 5, 한국과학기술연구원 H-1동 973AB호 (하월곡동)",유선 통신장비 제조업,26410,유선통신장비,02-2277-8341,2020-10-01
지니더램프,"서울특별시 성북구 보문로34가길 11, 1층 (동선동3가)",모피 및 가죽 제조업,15110,지갑 등 가죽 봉제류,02-775-8055,2020-10-01
(주)옛기술과 문화,"서울특별시 성북구 보문로32길 40 (동선동2가, 한국야쿠르트)","전시용 모형 제조업,오프셋 인쇄업,기타 인쇄업,모조 귀금속 및 모조 장신용품 제조업",33932181131811900000,관광상품,02-927-9731,2020-10-01
이지선뷰틱,서울특별시 성북구 보문로32길 57 (동선동2가),"근무복, 작업복 및 유사의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업",141921411114112,유니폼,02-928-9977,2020-10-01
삼성디엠에스 주식회사,"서울특별시 성북구 돌곶이로 157 (장위동, 한전빌딩)","기타 인쇄업,스크린 인쇄업,오프셋 인쇄업",181191811218113,제본(책),02-2274-7741,2020-10-01
엠엠에스주식회사,"서울특별시 성북구 한천로 625 (장위동, 엠엠에스)",침구 및 관련제품 제조업,13221,침구류,02-913-7979,2020-10-01
세종섬유,서울특별시 성북구 장월로2길 34 (상월곡동),그 외 기타 봉제의복 제조업,14199,의류임가공,,2020-10-01
(주)한국에머닥스,"서울특별시 성북구 돌곶이로7길 38,  1층 (석관동)",컴퓨터 제조업,26310,산업용컴퓨터,02-962-5821,2020-10-01
신용사,"서울특별시 성북구 북악산로 906,  101,103,107호 (돈암동)","그 외 기타 의료용 기기 제조업,기타 직물제품 제조업",2719913229,산업용 마스크,02-922-1509,2020-10-01
주식회사 아루이,"서울특별시 성북구 정릉로 77,  창업보육센터 112호 (정릉동)",액체 여과기 제조업,29175,수소수발생기,070-7845-3116,2020-10-01
국제자수,"서울특별시 성북구 돌곶이로38길 28,  2층 (장위동)","자수제품 및 자수용재료 제조업,섬유제품 기타 정리 및 마무리 가공업",1322213409,"휘장, 마크, 명찰",,2020-10-01
광진이지캡,서울특별시 성북구 정릉로23길 48-5 (정릉동),"그 외 기타 분류 안된 섬유제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",139991411114112000000000000000,여자용 정장,02-941-9709,2020-10-01
(주)지엔에프,"서울특별시 성북구 장위로 53, 3층 (장위동, 평구빌딩)","셔츠 및 블라우스 제조업,침구 및 관련제품 제조업,자수제품 및 자수용재료 제조업,커튼 및 유사제품 제조업,천막, 텐트 및 유사 제품 제조업,직물포대 제조업,기타 직물제품 제조업,섬유제품 기타 정리 및 마무리 가공업,그 외 기타 분류 안된 섬유제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,속옷 및 잠옷 제조업,한복 제조업,근무복, 작업복 및 유사의복 제조업,가죽의복 제조업,그 외 기타 봉제의복 제조업,모피제품 제조업,편조의복 제조업,스타킹 및 기타 양말 제조업,기타 편조의복 액세서리 제조업,모자 제조업,그 외 기타 의복액세서리 제조업,모피 및 가죽 제조업,핸드백 및 지갑 제조업,가방 및 기타 보호용 케이스 제조업,기타 가죽제품 제조업",1419113221132220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"근무복,작업복",02-922-4109,2020-10-01
우리식품,서울특별시 성북구 오패산로3길 36-12 (하월곡동),"육류 기타 가공 및 저장처리업 (가금류 제외),육류 포장육 및 냉동육 가공업 (가금류 제외)",1012910122,순대,02-919-8200,2020-10-01
주식회사 리모트월드,"서울특별시 성북구 화랑로14길 5, 한국과학기술원 벤처센터 962D호 (하월곡동)","기타 무선 통신장비 제조업,전자감지장치 제조업,그 외 기타 전자부품 제조업",264292629526299,"리모컨, 전등스위치",02-3395-1472,2020-10-01
모나미,"서울특별시 성북구 돌곶이로30길 52-5, 3층 (장위동)","부직포 및 펠트 제조업,특수 직물 및 기타 직물 직조업,침구 및 관련제품 제조업,커튼 및 유사제품 제조업,천막, 텐트 및 유사 제품 제조업,기타 직물제품 제조업,그 외 기타 분류 안된 섬유제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,속옷 및 잠옷 제조업,한복 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,가죽의복 제조업,유아용 의복 제조업,그 외 기타 봉제의복 제조업,스타킹 및 기타 양말 제조업,기타 편조의복 액세서리 제조업,모자 제조업,그 외 기타 의복액세서리 제조업,핸드백 및 지갑 제조업,가방 및 기타 보호용 케이스 제조업,구두류 제조업",1399213219132210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,의류,,2020-10-01
맥시비에스코리아 주식회사,"서울특별시 성북구 화랑로14길 5, 한국기술벤처재단 벤처타운 H-3동 954B호 (하월곡동)",그 외 기타 전기장비 제조업,28909,"UPS배터리재생기, 소프트웨어 개발",02-786-1122,2020-10-01
주식회사 포던테크,"서울특별시 성북구 삼선교로10바길 34-17, 상상큐브 A204호 (삼선동1가)","고무, 화학섬유 및 플라스틱 성형기 제조업,그 외 기타 달리 분류되지 않은 제품 제조업",2929233999,"3D프린터용 필라멘트제조기, 필라멘트권선기",070-4286-3133,2020-10-01
씨제이인스트루먼트(주),"서울특별시 성북구 화랑로14길 5, KIST H-1 982AB호(한국과학기술연구원) (하월곡동)",전기경보 및 신호장치 제조업,28901,전기경보 및 신호장치 제조업,02-423-3338,2020-10-01
합진자수,서울특별시 성북구 장월로1다길 16 (상월곡동),"자수제품 및 자수용재료 제조업,섬유제품 기타 정리 및 마무리 가공업",1322213409,컴퓨터자수,02-917-9819,2020-10-01
오향식품,"서울특별시 성북구 성북로 111,  (지층) (성북동)",수산동물 냉동품 제조업,10213,냉동찌게류,02-747-1094,2020-10-01
주식회사 대림엔터프라이즈,"서울특별시 성북구 정릉로31나길 4,  (지층) (정릉동)","폴리스티렌 발포 성형제품 제조업,기타 플라스틱 발포 성형제품 제조업",2225122259,스티커 팬시용품,02-943-0031,2020-10-01
진터식품,"서울특별시 성북구 장위로16길 54,  1층, 2층 (장위동)",과자류 및 코코아 제품 제조업,10713,과자,02-909-4022,2020-10-01
대영상사,"서울특별시 성북구 종암로19길 42,  지층 (종암동)","셔츠 및 블라우스 제조업,침구 및 관련제품 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,가죽의복 제조업,유아용 의복 제조업,그 외 기타 봉제의복 제조업,기타 편조의복 액세서리 제조업,모자 제조업,그 외 기타 의복액세서리 제조업",1419113221141110000000000000000000000000000000000000000,의류 등,02-2238-4161,2020-10-01
새한,서울특별시 성북구 장월로 80 (장위동),그 외 기타 플라스틱 제품 제조업,22299,블라인드,02-942-3105,2020-10-01
(주)성원라커시스템,"서울특별시 성북구 화랑로14길 5, 한국과학기술연구원 H-1동 BI센터 982B호 (하월곡동)","그 외 기타 전자부품 제조업,전자감지장치 제조업",2629926295,무인택배함 전자제어부,02-900-5400,2020-10-01
주식회사 시드인터네셔널,"서울특별시 성북구 돌곶이로8길 5, 3층 (석관동, 성대성결교회)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업,핸드백 및 지갑 제조업,가방 및 기타 보호용 케이스 제조업",14191141111411200000000000000000000,"의류, 가방",02-968-8878,2020-10-01
(주) 티멘토,"서울특별시 성북구 오패산로3길 72 (하월곡동, 상영빌딩) 204호 .(주) 티멘토",여자용 겉옷 제조업,14112,핸드메이드정장,02-909-2734,2020-10-01
유진산업,"서울특별시 성북구 인촌로13길 46, 지층 (안암동1가)","끈 및 로프 제조업,기타 운동 및 경기용구 제조업",1392133309,끈 및 로프,02-927-9988,2020-10-01
하랑푸드,서울특별시 성북구 정릉동 890-1번지,도시락류 제조업,10751,"도시락, 샐러드",02-2135-4844,2020-10-01
주식회사 현성컨버전스,"서울특별시 성북구 화랑로14길 5, H-1동, 922AB호 (하월곡동)","유선 통신장비 제조업,기타 무선 통신장비 제조업,기기용 자동측정 및 제어장치 제조업,기타 전기 변환장치 제조업",26410264292721500000,승강기 비상통화장치,02-961-5200,2020-10-01
삼보사,서울특별시 성북구 정릉로44길 37 (돈암동),"그 외 기타 분류 안된 금속 가공 제품 제조업,피복 및 충전 용접봉 제조업",2599925995,양말핀,02-923-6868,2020-10-01
성진아이템,서울특별시 성북구 돌곶이로8마길 20-10 (석관동),포장용 플라스틱 성형용기 제조업,22232,지퍼손잡이,02-966-3446,2020-10-01
영창실업사,서울특별시 성북구 솔샘로 45 (정릉동),편조의복 제조업,14300,쉐타,02-916-0540,2020-10-01
그레타리의상실,서울특별시 성북구 동소문로26길 35 (동선동3가),한복 제조업,14130,한복,02-763-7343,2020-10-01
부광산업,서울특별시 성북구 장위로15길 16 (장위동),"그 외 기타 달리 분류되지 않은 제품 제조업,자전거 및 환자용 차량 제조업",3399931991,"쿨팩,핫팩,찜질기",02-912-1743,2020-10-01
(주)한솔애드컴,"서울특별시 성북구 보국문로16길 74-1, 지층 2층 (정릉동)","간판 및 광고물 제조업,그 외 기타 나무제품 제조업,그 외 기타 콘크리트 제품 및 유사제품 제조업,기타 석제품 제조업,그 외 기타 분류 안된 금속 가공 제품 제조업",3391016299233290000000000,광고물,02-918-8070,2020-10-01
일진실업,"서울특별시 성북구 종암로 56,  고려상가 나동 112호 (종암동)","육상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업",2511325114,유리경첩 및 욕실악세사리,02-941-9679,2020-10-01
주식회사 솜씨카드,"서울특별시 성북구 동소문로13가길 68,  지하1층 (동소문동4가)","경 인쇄업,오프셋 인쇄업",1811118113,카드 및 인쇄류,02-928-9056,2020-10-01
(주)하이시스텍,"서울특별시 성북구 인촌로 112,  201호 (안암동5가)","비디오 및 기타 영상기기 제조업,방송장비 제조업,기타 음향기기 제조업,전시 및 광고용 조명장치 제조업,전시용 모형 제조업",2651926421265290000000000,"음향, 영상기기",02-929-2585,2020-10-01
(주)하이포스알앤씨,"서울특별시 성북구 인촌로22길 6-3, 고대자연계캠퍼스산학관 (안암동5가)","화학 살균.살충제 및 농업용 약제 제조업,생물 살균.살충제 및 식물보호제 제조업",2032120322,곤충기피제,02-929-6179,2020-10-01
(주)메가락,서울특별시 성북구 화랑로18라길 2 (상월곡동),직물포대 제조업,13225,프라스틱자루,031-535-6532,2020-10-01
게코전자 주식회사,"서울특별시 성북구 솔샘로 45, 2층 (정릉동)","전기경보 및 신호장치 제조업,전기회로 개폐, 보호장치 제조업,전기회로 접속장치 제조업",289012812128122,가스경보 및 신호장치,02-941-4711,2020-10-01
홍진산업사,"서울특별시 성북구 오패산로3길 3, 4층 (하월곡동, 홍신빌딩)","운송장비 조립용 플라스틱제품 제조업,기타 기계.장비 조립용 플라스틱 제품 제조업",2224122249,기계장비 조립용 플라스틱제품,02-918-2000,2020-10-01
주식회사 비알씨테크,"서울특별시 성북구 보문로30길 71, 지하1층 (동선동2가, 패션빌딩)",컴퓨터 모니터 제조업,26322,"컴퓨터, 모니터",02-322-2927,2020-10-01
그리심,"서울특별시 성북구 장위로26길 11-3, 지하1층 (장위동)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,가죽의복 제조업,유아용 의복 제조업,그 외 기타 봉제의복 제조업",14191141111411200000000000000000000,"단체복,무대의상 등",02-941-3871,2020-10-01
연승사,"서울특별시 성북구 인촌로1길 50, 지하1층 (보문동1가)","셔츠 및 블라우스 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업,근무복, 작업복 및 유사의복 제조업,유아용 의복 제조업,그 외 기타 봉제의복 제조업",141911411114112000000000000000,의류 제품,02-953-1183,2020-10-01
월드에이앤씨,"서울특별시 성북구 종암로 56, 고려상가 라호 (종암동)","그 외 기타 분류 안된 금속 가공 제품 제조업,자수제품 및 자수용재료 제조업,커튼 및 유사제품 제조업,그 외 기타 의복액세서리 제조업,금속 표시판 제조업,귀금속 및 관련제품 제조업",259991322213223000000000000000,"기념패, 휘장, 견장",02-927-9937,2020-10-01
원진앤지협동조합,"서울특별시 성북구 화랑로37길 42, 206호 (장위동, 삼익아파트)","남자용 겉옷 제조업,여자용 겉옷 제조업,셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,그 외 기타 봉제의복 제조업",1411114112141910000000000,"교복, 단체복",02-953-9984,2020-10-01
제일이노텔,"서울특별시 성북구 보국문로 191, 3층 (정릉동)","기타 음향기기 제조업,기타 무선 통신장비 제조업",2652926429,"이어폰, 무전기",02-909-0047,2020-10-01
(주)우성티앤지,"서울특별시 성북구 돌곶이로 97 (장위동, 우성빌딩)",기타 직물제품 제조업,13229,"직물,밴드,자켓니트",02-942-8321,2020-10-01
거화아이엔씨(주),"서울특별시 성북구 한천로 625,  (3층) (장위동)","셔츠 및 블라우스 제조업,근무복, 작업복 및 유사의복 제조업,가방 및 기타 보호용 케이스 제조업",141911419215129,"가방,수영복",02-942-7016,2020-10-01
린넨코리아,서울특별시 성북구 보국문로29길 130 (정릉동),침구 및 관련제품 제조업,13221,"린넨,침구,가운,카바",,2020-10-01
(주)유플러스테크,"서울특별시 성북구 보문로 94, 5층 (보문동4가, 화성빌딩)","전구 및 램프 제조업,기타 주변기기 제조업",2841026329,빔프로젝터 램프,02-3291-5700,2020-10-01
(주)대진테크,"서울특별시 성북구 종암로 56, 나동 214호 (종암동)","육상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업",2511325114,샤워부스 경첩 및 욕식부품,02-911-8858,2020-10-01
