순번,회사명,전화번호,팩스번호,생산품,공장대표 도로명주소,공장대표 지번주소,업종명,데이터기준일
17,(주)원포인트듀오,02-447-7117,,"그외 기타 분류 안된 그속 가공 제품 제조업, 기타 직물 제품제조업, 간판 및 광고물 제조업","서울특별시 강북구 덕릉로40길 74, 7층 701호(번동, 강북전자공단) 7층 701호",서울특별시 강북구 번동 229-10 강북전자공단 7층 701호  7층 701호,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,2025-08-15
18,(주)월드아이,02-703-1700,,보안용카메라제작,"서울특별시 강북구 월계로37길 15, 4층 (번동, 천보빌딩)",서울특별시 강북구 번동 118-17번지,방송장비 제조업 외 7 종,2025-08-15
19,(주)윤성피엔피,02-994-8484,02-994-8488,배전반 및 전기자동제어반,"서울특별시 강북구 도봉로 406, 지층 (번동)",서울특별시 강북구 번동 465-1번지,배전반 및 전기 자동제어반 제조업,2025-08-15
20,(주)인터파크 비즈마켓,02-6959-0348,,"근무복, 작업복, 유사의복 제조업 외 14종","서울특별시 강북구 한천로 1010, 2층 (번동)",서울특별시 강북구 번동 461-64번지 2층,"근무복, 작업복 및 유사의복 제조업 외 14 종",2025-08-15
21,(주)인화물산,031-706-0989,031-748-8844,14111(남자용 겉옷),"서울특별시 강북구 한천로140길 47, 2층 (수유동)",서울특별시 강북구 수유동 172-173번지 2층,남자용 겉옷 제조업 외 12 종,2025-08-15
22,(주)제너시스템,02-996-4471,02-999-4472,"디스크어레이, 영상감시장치","서울특별시 강북구 덕릉로 126, 1층(번동, 우일빌딩)",서울특별시 강북구 번동 441-28 우일빌딩 1층,컴퓨터 제조업 외 1 종,2025-08-15
23,(주)제이스홀딩스,02-2207-3348,02-6953-6951,"셔츠, 블라우스, 근무복, 유사의복 등","서울특별시 강북구 한천로132길 73, 2층 (번동)",서울특별시 강북구 번동 465-9번지 2층,셔츠 및 블라우스 제조업 외 3 종,2025-08-15
24,(주)티엠티엔지니어링,02-987-7001,02-987-8007,산업용계량기,"서울특별시 강북구 덕릉로40길 74, 2층 201호/지층 901호(번동, 강북전자공단)",서울특별시 강북구 번동 229-10 강북전자공단 2층 201호/지층 901호,속도계 및 적산계기 제조업,2025-08-15
25,(주)파워트로닉스,02-985-0125,02-985-0122,"배전용전기회로 개폐, 보호및,접속장치","서울특별시 강북구 덕릉로40길 74, 강북전자공단 (번동)",서울특별시 강북구 번동 229-10번지,"전기회로 개폐, 보호장치 제조업 외 1 종",2025-08-15
26,(주)팝콘앤키키,02-932-4287,02-934-4287,양말,"서울특별시 강북구 한천로109길 10, 502호 (번동)",서울특별시 강북구 번동 239번지 502호,스타킹 및 기타 양말 제조업,2025-08-15
27,(주)한국산업기기,,,대기환경측정기,"서울특별시 강북구 수유로 50, 2층 젬스톤타워 (수유동)",서울특별시 강북구 수유동 47-46번지 2층 젬스톤타워,"물질 검사, 측정 및 분석기구 제조업",2025-08-15
28,(주)한성기술개발,02-995-8957,02-995-8957,"전기계장(계측) 제어장치, 자동제어반","서울특별시 강북구 삼양로106길 6, 2층 (수유동)",서울특별시 강북구 수유동 383-6번지 2층,배전반 및 전기 자동제어반 제조업,2025-08-15
29,(주)현대정밀공업,02-981-0498,02-986-0230,산업용편직기,서울특별시 강북구 오패산로 118-11 (미아동),서울특별시 강북구 미아동 8번지,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2025-08-15
30,(주)휴메인플러스,02-3482-1601,,레이저프린터 토너,서울특별시 강북구 한천로 1173 (수유동),서울특별시 강북구 수유동 279-90 번지,기타 주변기기 제조업,2025-08-15
31,광신지피에스통신(주),02-985-6151,02-985-0451,"간판, 현수막, 안내판 , 디자인","서울특별시 강북구 월계로37길 91, 2층 (번동, 상아빌딩)",서울특별시 강북구 번동 222번지 상아빌딩 2층,속도계 및 적산계기 제조업 외 5 종,2025-08-15
32,그린광고,,,등기구,"서울특별시 강북구 도봉로 137-1, 1층 (미아동)",서울특별시 강북구 미아동 322-26 1층,간판 및 광고물 제조업 외 2 종,2025-08-15
33,네오라이팅,02-747-6343,02-747-6345,"인삼제품, 차류, 과실 및 채소 주스","서울특별시 강북구 도봉로 284-3 (미아동, 동일여관)",서울특별시 강북구 미아동 160-43번지,일반용 전기 조명장치 제조업,2025-08-15
34,대명섬유,02-945-2005,02-945-2008,전자부품제조,"서울특별시 강북구 한천로109길 10, 유니온빌딩 101호, 202호 (번동)",서울특별시 강북구 번동 239번지,그 외 기타 분류 안된 섬유제품 제조업 외 4 종,2025-08-15
35,대한콘트롤,02-985-7781,02-982-0238,셔츠 및 체육복,"서울특별시 강북구 덕릉로40길 74, 202호 (번동)",서울특별시 강북구 번동 229-10번지,전구 및 램프 제조업,2025-08-15
36,대화스포츠,02-902-6058,,운동복,"서울특별시 강북구 삼양로 438, 3층 (수유동, 한일빌딩)",서울특별시 강북구 수유동 338-6번지,셔츠 및 블라우스 제조업 외 6 종,2025-08-15
37,동남정보기술,02-986-8057,,"간판, 도로표지판","서울특별시 강북구 삼양로77가길 98, 지1층 (수유동)",서울특별시 강북구 수유동 468-1번지,시계 및 시계부품 제조업 외 1 종,2025-08-15
38,동서기획,02-981-1322,,여성의류 등,"서울특별시 강북구 오패산로 140, 1층 (미아동, 동서간판네온)",서울특별시 강북구 미아동 80-61번지 동서간판네온 1층,간판 및 광고물 제조업,2025-08-15
39,라도도,070-7617-7099,02-941-0799,"실사출력인쇄스티커, 안전표지판, 현수막, 안내판, 간판","서울특별시 강북구 숭인로 11, 지층/1층 (미아동)",서울특별시 강북구 미아동 1261-348번지 지층/1층,핸드백 및 지갑 제조업 외 1 종,2025-08-15
40,라테디자인,,,"기타종이제품, 기타인쇄물, 기타플라스틱제품, 기타의 섬유제품, 기타조명기기",서울특별시 강북구 도봉로 137-1 (미아동),서울특별시 강북구 미아동 322-26,간판 및 광고물 제조업 외 2 종,2025-08-15
41,마이크로시스템엔지니어링,02-988-8512,02-988-8514,"린넨류,침구류",서울특별시 강북구 삼양로38가길 5 (미아동),서울특별시 강북구 미아동 734-176번지,그 외 기타 전자부품 제조업 외 1 종,2025-08-15
42,명성실업,02-995-0150,02-946-0199,"싱크대, 붙박이장, 수납장, 책장","서울특별시 강북구 삼양로 276, 지층 (미아동)",서울특별시 강북구 미아동 793-70번지,침구 및 관련제품 제조업 외 6 종,2025-08-15
43,미래C&P,02-997-7708,02-997-7740,자수제품,"서울특별시 강북구 삼양로 445, 지층(수유동)",서울특별시 강북구 수유동 340-7 지층,주방용 및 음식점용 목재가구 제조업 외 3 종,2025-08-15
44,부광컴퓨터자수,02-982-2103,02-945-0237,셔츠 및 체육복,서울특별시 강북구 솔매로37길 9 (미아동),서울특별시 강북구 미아동 226-69번지,자수제품 및 자수용재료 제조업 외 1 종,2025-08-15
45,부마,02-986-2555,,의류,서울특별시 강북구 솔샘로 313 (미아동),서울특별시 강북구 미아동 373-56번지,셔츠 및 블라우스 제조업 외 9 종,2025-08-15
46,비젤어패럴(주),070-8867-0017,02-921-3432,"근무복,작업복 및 유사의복 제조업외10종","서울특별시 강북구 삼양로 296, 2층 2호 (수유동)",서울특별시 강북구 수유동 57-164번지 2층 2호,남자용 겉옷 제조업 외 9 종,2025-08-15
47,사)한국장애인중심기업협회 피복사업본부,02-980-8401,02-945-8401,자수제품,"서울특별시 강북구 삼양로76길 3, 2층 (수유동)",서울특별시 강북구 수유동 57-22번지 2층,"근무복, 작업복 및 유사의복 제조업 외 12 종",2025-08-15
48,상진섬유공업사,02-993-7124,,남성용 정장 외 5종,서울특별시 강북구 4.19로17길 34 (수유동),서울특별시 강북구 수유동 535-38번지,자수제품 및 자수용재료 제조업 외 1 종,2025-08-15
49,세진플러스,02-909-6222,,"의류, 근무복",서울특별시 강북구 한천로132길 73 (번동) 2층,서울특별시 강북구 번동 465-9 2층,그 외 기타 봉제의복 제조업 외 7 종,2025-08-15
50,소중한 메디컬패션,02-908-1155,02-908-7733,"달리분리되지않는 측정,시험항해제어","서울특별시 강북구 솔샘로67길 92, 4층 (미아동)",서울특별시 강북구 미아동 322-10번지 4층,"근무복, 작업복 및 유사의복 제조업",2025-08-15
51,신명치과상사SMDT,02-756-6366,02-771-2591,"마이크, 스피커,방송음향기기,플러그용잭","서울특별시 강북구 도봉로20가길 71, 1층 (미아동)",서울특별시 강북구 미아동 131-20번지 1층,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",2025-08-15
52,에스에스브이,02-983-8899,02-983-4499,"주차장 차단기 및 주변기기, 주차관제시스템",서울특별시 강북구 오현로34길 36 (번동),서울특별시 강북구 번동 306-14번지,기타 음향기기 제조업 외 6 종,2025-08-15
53,에스피에스주차관제주식회사,02-904-9900,02-999-9007,의류,서울특별시 강북구 삼각산로20길 10 (수유동),서울특별시 강북구 수유동 391-345번지,그 외 기타 특수목적용 기계 제조업 외 4 종,2025-08-15
54,올레패션,02-986-3777,,남녀근무복 등 의류제품,"서울특별시 강북구 오현로25다길 73 (번동, 상암교회)",서울특별시 강북구 번동 148-318 번지,여자용 겉옷 제조업 외 2 종,2025-08-15
55,우영메카(주),02-2269-9498,,"유,무선통신장비","서울특별시 강북구 한천로109길 21-5, 1층 (번동)",서울특별시 강북구 번동 270-1번지 1층,교통 신호장치 제조업 외 3 종,2025-08-15
56,우영정보통신(주),02-998-7755,02-999-7756,기타음향장치,서울특별시 강북구 삼양로141길 4 (우이동),서울특별시 강북구 우이동 71-16,유선 통신장비 제조업 외 6 종,2025-08-15
57,위드로드,02-945-5588,,"밸트,지갑,가방","서울특별시 강북구 한천로109길 10, 4층 403호 (번동)",서울특별시 강북구 번동 239번지,기타 음향기기 제조업 외 2 종,2025-08-15
58,유한회사 미래에프앤티(MIRAEF&T),02-6326-6839,,"운동복, 작업복, 근무복, 잠바, 유사의복 제조","서울특별시 강북구 도봉로15길 11, 지층1호 (미아동)",서울특별시 강북구 미아동 460-116번지 지층1호,여자용 겉옷 제조업 외 14 종,2025-08-15
59,주)국제종합건업,02-984-8800,,"비상전원장치,전자부품,전기장비",서울특별시 강북구 솔샘로67길 90-3 (미아동),서울특별시 강북구 미아동 322-11번지,간판 및 광고물 제조업,2025-08-15
60,주)신원에이티에스,02-906-0541,02-904-1325,귀금속 및 장신구,서울특별시 강북구 삼각산로 150 (수유동),서울특별시 강북구 수유동 37-44번지,그 외 기타 전자부품 제조업 외 3 종,2025-08-15
61,주)젬코쥬얼리,02-981-7400,02-989-5216,가공절연코드 및 코드세트,"서울특별시 강북구 한천로109길 10, 602,701,801,802호 (번동)",서울특별시 강북구 번동 239번지,귀금속 및 관련제품 제조업,2025-08-15
62,주)평일일레콤,02-987-7662,,"근무복, 작업복 및 유사의복","서울특별시 강북구 한천로109길 10, 강북유니온빌딩 102호 (번동)",서울특별시 강북구 번동 239번지,광섬유 케이블 제조업,2025-08-15
63,주복상사,070-5123-4408,,"전동스크린,음향,영상장비","서울특별시 강북구 인수봉로 177, 지층 (수유동, 화성공업사)",서울특별시 강북구 수유동 508-88번지 화성공업사 지층,"근무복, 작업복 및 유사의복 제조업 외 4 종",2025-08-15
64,주식회사 디와이엔텍,02-987-3535,02-945-3201,아동복,"서울특별시 강북구 월계로 53-3, 록일빌딩 2층 (미아동)",서울특별시 강북구 미아동 1316번지,비디오 및 기타 영상기기 제조업 외 2 종,2025-08-15
65,주식회사 리더스어패럴,02-995-5007,,살균소독제,"서울특별시 강북구 삼양로 440, 지층 (수유동)",서울특별시 강북구 수유동 335-11번지 지층,여자용 겉옷 제조업 외 2 종,2025-08-15
66,주식회사 세이큐브,070-4046-0537,,방송장비,"서울특별시 강북구 인수봉로 124, 1층 102호 (수유동)",서울특별시 강북구 수유동 468-220번지 1층 102호,기타 식품 첨가물 제조업,2025-08-15
67,주식회사 아르스미디어,02-990-4216,02-993-4216,화장품제조업,"서울특별시 강북구 삼각산로 121-1, 2층 (수유동)",서울특별시 강북구 수유동 605-296번지 2층,방송장비 제조업,2025-08-15
68,주식회사 아이마더,02-980-3314,02-981-3315,"근무복, 티셔츠, 탑류, 팬츠류, 스포츠의류","서울특별시 강북구 솔매로 67, 3층 (미아동, 일심회관)",서울특별시 강북구 미아동 762-21번지 일심회관 3층,화장품 제조업,2025-08-15
69,주식회사 오베리인터내셔널,02-942-0223,02-943-0223,의류,서울특별시 강북구 번제3동 239번지 강북유니온빌딩 4층 401호,서울특별시 강북구 번제3동 239번지 강북유니온빌딩  4층 401호,그 외 기타 봉제의복 제조업 외 3 종,2025-08-15
70,주식회사 오투인,070-4007-1420,0504-410-4094,14199,"서울특별시 강북구 솔샘로67길 141, 2층 (미아동)",서울특별시 강북구 미아동 310-28 2층,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-08-15
71,주식회사 와이디해조,02-6925-3589,070-8230-3589,"의류 완제품 제조, 포장재 제조","서울특별시 강북구 노해로 107, 2층(수유동) (수유동)",서울특별시 강북구 수유동 681-21번지 2층(수유동),남자용 겉옷 제조업 외 4 종,2025-08-15
72,주식회사 카이비,070-5154-7744,,"트렌스,배연창,샷다모터","서울특별시 강북구 노해로17길 21, 206호(수유동, 수유중앙시장)",서울특별시 강북구 수유동 32-2 수유중앙시장 206호,남자용 겉옷 제조업 외 11 종,2025-08-15
73,청옥김치,02-985-3604,,"커튼, 블라인드","서울특별시 강북구 삼양로118길 6 (수유동, 부일빌딩)",서울특별시 강북구 수유동 332-31번지 부일빌딩,김치류 제조업 외 2 종,2025-08-15
74,커튼 가이드,02-998-0071,02-998-0072,의류,"서울특별시 강북구 오패산로78길 25, 1층 우측 (번동)",서울특별시 강북구 번동 416-127번지 1층 우측,커튼 및 유사제품 제조업,2025-08-15
75,탐라엔씨(주),02-323-2480,02-323-2456,"생활용품, 문구류","서울특별시 강북구 노해로 99, 1층 (수유동)",서울특별시 강북구 수유동 252-120번지 1층,그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,2025-08-15
76,퍼니두,02-6326-5970,,목재가구제조업,서울특별시 강북구 삼각산로 97 (수유동) 지층,서울특별시 강북구 수유동 605-341 지층,주방용 및 음식점용 목재가구 제조업 외 1 종,2025-08-15
77,한국바이오,02-906-9636,02-907-9636,악취제거제,서울특별시 강북구 월계로21나길 51 (미아동),서울특별시 강북구 미아동 8-306번지,그 외 기타 분류 안된 화학제품 제조업 외 1 종,2025-08-15
78,한신초음파,02-998-3907,,초음파 세척기,서울특별시 강북구 삼각산로 160 (수유동),서울특별시 강북구 수유동 39-63번지,"용기 세척, 포장 및 충전기 제조업",2025-08-15
79,한올섬유,02-904-9593,,양말,"서울특별시 강북구 노해로35길 61, 지1호 (수유동)",서울특별시 강북구 수유동 710-13번지,스타킹 및 기타 양말 제조업,2025-08-15
80,한진산업,02-981-2010,02-986-8938,"셔츠,작업복","서울특별시 강북구 오현로 131 (번동, 양주조씨회관)",서울특별시 강북구 번동 123-1번지,셔츠 및 블라우스 제조업 외 3 종,2025-08-15
81,현대장식상사,02-988-8500,02-989-3988,커튼 원단 재단,"서울특별시 강북구 도봉로65길 52, 1층 (미아동)",서울특별시 강북구 미아동 236-2 번지 1층,커튼 및 유사제품 제조업,2025-08-15
82,협진어패럴,02-900-9403,02-2278-0486,"유니폼,근무복","서울특별시 강북구 삼양로116길 20, 수유벽산아파트상가 201동201~204호 (수유동)",서울특별시 강북구 수유동 648번지,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-08-15
83,효진물산,02-986-9898,02-984-9316,욕실용악세사리,"서울특별시 강북구 도봉로 157, 두원프라자 지하201호,202호 (미아동)","서울특별시 강북구 미아동 1351번지 두원프라자 지하201호,202호",금속 위생용품 제조업 외 1 종,2025-08-15
