회사명,전화번호,공장대표주소(도로명),업종명,생산품,관리부서 ,관리부서 전화번호,데이터기준일
(주)미려비젼,02-511-8451,"서울특별시 동대문구 무학로23길 30, 송암빌딩 2층 (용두동)",셔츠 및 블라우스 제조업 외 6 종,근무복 ,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)바인코리아플러스,02-6218-4004,"서울특별시 동대문구 천호대로2길 23-3, 진흥빌딩 지하2층 (신설동)","근무복, 작업복 및 유사의복 제조업 외 2 종","산업안전복 작업복 및 의복 등, 산업안전복 작업복 및 의복 등, 산업안전복 작업복 및 의복 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)벨베리온,02-967-7774,"서울특별시 동대문구 경희대로 26, 경희대학교 네오르네상스관 B121(회기동)","근무복, 작업복 및 유사의복 제조업 외 2 종","살바이러스 방역복, 방진복, 플라즈마 공기청정키트, 나노코팅",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)비앤제이,02-2252-9700,"서울특별시 동대문구 한빛로 28-1, 2층 (신설동)",셔츠 및 블라우스 제조업 외 6 종,"스포츠용품및 의류,양발",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)성문당,02-927-7471,서울특별시 동대문구 천호대로16나길 15 (용두동),기타 인쇄업 외 1 종,"인쇄,복사",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)성원아이에스엠,02-922-7913,"서울특별시 동대문구 무학로 133-2, 지상2층, 202호 (용두동)","근무복, 작업복 및 유사의복 제조업 외 9 종",의류(근무복 제조업),서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)세림자수,02-2216-0588,"서울특별시 동대문구 장한로27나길 107, 1층 (장안동)",자수제품 및 자수용재료 제조업 외 2 종,자수용품 및 의류액세서리,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)수자원엔지니어링,02-927-5577,서울특별시 동대문구 안암로 164 (제기동),액체 여과기 제조업,정수시설.정수장치.정수기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)쏘플러스,,"서울특별시 동대문구 답십리로 293, 지하1층 (장안동)","근무복, 작업복 및 유사의복 제조업 외 25 종","의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류, 의류",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)씨에쓰정보기술,02-6235-5000,"서울특별시 동대문구 장한로12길 48, 지하 1층 (장안동)",방송장비 제조업 외 2 종,"영상감시장치, 영상감시장치, 영상감시장치",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)에스엠에프엔씨,010-2724-****,"서울특별시 동대문구 전농로27길 47, 3층 (전농동)","근무복, 작업복 및 유사의복 제조업 외 26 종",의류 등,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)영진스테이지,02-923-4600,서울특별시 동대문구 천호대로22길 21 (용두동),커튼 및 유사제품 제조업,커튼,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)예스원,,"서울특별시 동대문구 천호대로85길 13, 201호(장안동, 형인타워)",가죽의복 제조업 외 14 종,"의류, 가방, 지갑, 침구류, 텐트, 낙하산, 구명벨트, 구명조끼",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)장안지퍼,02-2247-7331,"서울특별시 동대문구 장한로28길 44, 3층 (장안동)",그 외 기타 의복액세서리 제조업,지퍼,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)정호 어페럴,011-347-****,"서울특별시 동대문구 무학로34길 31, 3층 (용두동)",남자용 겉옷 제조업 외 5 종,남여 정장 및 유니폼,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)제이더블유씨 네트웍스,02-1899-7602,"서울특별시 동대문구 청계천로 471, 지하5호 (용두동, 청계천 대성 스카이렉스2)",방송장비 제조업 외 2 종,"CCTV,돔형카메라,적외선카메라 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)제이디디자인컴퍼니,02-2248-7057,서울특별시 동대문구 한천로 81-1 (답십리동),간판 및 광고물 제조업 외 1 종,"광고물, 인테리어소품",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)제이에스에프앤씨,02-2249-6872,"서울특별시 동대문구 천호대로81길 8, 4층(장안동, 영풍빌딩)","근무복, 작업복 및 유사의복 제조업 외 6 종",의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)제일첨단테크,02-2248-8270,"서울특별시 동대문구 한천로26길 50, 구)391-16 2층 (장안동)",전기경보 및 신호장치 제조업 외 2 종,전기경보및신호장치,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)조경상사,02-2274-2950,"서울특별시 동대문구 장안벚꽃로 27, 5층 세강빌딩 (장안동)","기타 섬유, 의복 및 가죽 가공 기계 제조업",공업용 재봉기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)조선한방,010-4740-****,"서울특별시 동대문구 사가정로 143, 지하1층(전농동)",건강기능식품 제조업,건강식품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)지엔에프,02-922-4109,"서울특별시 동대문구 무학로30길 22, 2층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 25 종",근무복,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)지엔에프,02-922-4109,"서울특별시 동대문구 천호대로 151, 지하1층, 지엔에프타워 (용두동)","근무복, 작업복 및 유사의복 제조업 외 26 종","근무복, 작업복,유사의복 제조",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)케이프로시스템,02-1522-9978,"서울특별시 동대문구 이문로 90, 2층 (이문동)",무인 항공기 및 무인 비행장치 제조업 외 1 종,"드론, 드론부품",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)태화에스앤드아이,02-922-3251,서울특별시 동대문구 천호대로 82-5 (용두동),자동차용 금속 압형제품 제조업 외 1 종,기계,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)토파비즈,02-2293-2286,"서울특별시 동대문구 한빛로 60, 1층  (용두동)",남자용 겉옷 제조업 외 2 종,"유니폼 외 의류, 유니폼 외 의류, 유니폼 외 의류",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)패트론엔젤,02-2135-3811,"서울특별시 동대문구 천호대로45가길 42, 지층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 27 종","의류, 침구, 잡화 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)한국씨엠에스,02-1566-9466,"서울특별시 동대문구 천호대로85길 21-1, 4층 (장안동)",그 외 기타 전자부품 제조업 외 2 종,락카용전자키,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)한신훼밀리,02-2215-3798,"서울특별시 동대문구 한천로14길 71, 3층, 4층 한신빌딩 (장안동)",그 외 기타 분류 안된 섬유제품 제조업,"행주, 맙, 타월 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)현웅디자인,02-922-5561,"서울특별시 동대문구 무학로26길 53, 지하1층 (용두동)",남자용 겉옷 제조업 외 15 종,의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)화선테크,02-719-4045,"서울특별시 동대문구 무학로 133-2, 4층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 3 종","기성의류, 남자겉옷, 여자겉옷, 셔츠/블라우스, 근무복, 작업복 및 유사의류",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
B&J 패션,02-2252-3041,"서울특별시 동대문구 한빛로 24, 2층 (신설동)","근무복, 작업복 및 유사의복 제조업 외 3 종","남여 정장 근무복, 작업복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
JK패션,02-2615-6811,서울특별시 동대문구 답십리로 159-11 (답십리동) 2층,셔츠 및 블라우스 제조업 외 1 종,"근무복, 유사의복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
가나시계,02-2248-5599,서울특별시 동대문구 장한로5길 54 (장안동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"괘종,탁상시계",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
가미유성기업사,02-2217-0280,서울특별시 동대문구 한천로 94 (장안동),기타 인쇄업 외 1 종,인쇄,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
간우사,02-2214-2345,"서울특별시 동대문구 전농로 99, 신흥빌딩3층 (답십리동)","근무복, 작업복 및 유사의복 제조업 외 3 종",병원근무목 및 유사의복 제조업,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
건흥전기(주),02-2247-3131,서울특별시 동대문구 한천로 183 (장안동),"전기회로 개폐, 보호장치 제조업 외 4 종",전기용품및전기온도계제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
게놈앤메디신(주),02-2217-5747,"서울특별시 동대문구 한천로 137, 지층 1호 (답십리동)",차류 가공업,액상차,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
광덕,02-923-6991,"서울특별시 동대문구 천호대로 49-6, 1층 (용두동)",선철주물 주조업 외 7 종,"불판,다리미밑판 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
그린공조닥트,010-4633-****,서울특별시 동대문구 고산자로 503 (제기동) 1층,기타 비철금속 주조업 외 2 종,주방후드 및 각형닥트,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
그린티스(주),010-5523-****,"서울특별시 동대문구 휘경로2길 24, 2층 (이문동)",직물포대 제조업,기타플라스틱포대,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
글리터,02-928-2201,"서울특별시 동대문구 서울시립대로 55, 3층 (전농동)","근무복, 작업복 및 유사의복 제조업 외 10 종",유니폼 및 의류 일체,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
금성니트,02-484-5050,"서울특별시 동대문구 장한로 149-1, 3층 (장안동)",편조원단 제조업,니트 원단,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
꿈드래장애인일자리센터,010-5769-****,서울특별시 동대문구 장한로28가길 7 (장안동),문구용 종이제품 제조업 외 11 종,"가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, , 가방 및 기타 보호용 케이스, ",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
대광피앤씨 주식회사,02-989-6263,"서울특별시 동대문구 청계천로 471, 지하1층 4호(용두동, 청계천 대성 스카이렉스2)",셔츠 및 블라우스 제조업 외 1 종,의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
대동제약(주),02-964-8833,서울특별시 동대문구 고산자로 471 (제기동),한의약품 제조업,"녹용,녹각",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
대본 인더스트리,02-2214-3464,"서울특별시 동대문구 한천로 178, 1층 (장안동)",그 외 기타 일반목적용 기계 제조업,고압세척기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
대양정공,02-926-6897,서울특별시 동대문구 무학로35길 32 (용두동),치과기공물 제조업 외 2 종,의료기구,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
대진기획,02-2242-2319,서울특별시 동대문구 한천로17길 9 (답십리동),간판 및 광고물 제조업,간판 및 광고물제조업,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
더 반함,,"서울특별시 동대문구 장한로14길 8, 4층 (장안동)",남자용 겉옷 제조업 외 2 종,의류 및 자수제품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
더워시 하정완 발효기술(주),010-9608-****,"서울특별시 동대문구 천호대로13길 10, 삼광빌딩B동 302호 (용두동)","치약, 비누 및 기타 세제 제조업",발효기술산성세탁세제,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
동경인쇄,02-2235-4631,"서울특별시 동대문구 난계로30길 21, 1층(신설동)",기타 인쇄물 출판업,"교재, 카다로그, 카렌더 기타 인쇄물",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
동대문의류패션협동조합,02-2212-4798,"서울특별시 동대문구 한천로24길 74-8 (장안동) 101호, 102호","근무복, 작업복 및 유사의복 제조업 외 1 종","보호복, 작업복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
동신전기(주),,"서울특별시 동대문구 장한로22길 20-4, 지하1층 (장안동)",일반용 전기 조명장치 제조업 외 1 종,"조명, 전기용품, 간판, 광고물",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
동우IPC,02-924-4488,"서울특별시 동대문구 왕산로9길 15, 대광빌딩 1층 (용두동)",경 인쇄업 외 3 종,인쇄물,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
동인,02-2243-5010,"서울특별시 동대문구 장한로36길 10, 3층 (장안동)",가죽의복 제조업 외 9 종,"의류, 가방",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
마리아즈시계,,"서울특별시 동대문구 천호대로 54, 407호(용두동, 목산빌딩) (용두동)",시계 및 시계부품 제조업,시계,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
메디컬 하우스,02-2233-0774,"서울특별시 동대문구 서울시립대로29길 67, 구)113-27 지층 (전농동)","근무복, 작업복 및 유사의복 제조업 외 6 종","병원근무복, 작업복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
모티브 에스엠,070-8668-9112,"서울특별시 동대문구 청계천로7길 56, 302호, 303호 (용두동)",남자용 겉옷 제조업 외 1 종,"의류 제조업, 의류 제조업",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
미래모드,010-3661-****,"서울특별시 동대문구 답십리로 55, 2층 좌측 (전농동)","근무복, 작업복 및 유사의복 제조업 외 3 종","교복,근무복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
민경패션,010-5304-****,"서울특별시 동대문구 무학로32길 5, 2층 (용두동)",여자용 겉옷 제조업 외 6 종,"바지, 블라우스,남방(남여)",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
비타페이스,02-966-8764,"서울특별시 동대문구 약령중앙로8길 15, 3층 301호 (제기동)",화장품 제조업,화장품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
사단법인 장애인일자리나눔협회,070-7655-8000,"서울특별시 동대문구 안암로 32, 2층 (용두동)",기타 직물제품 제조업,"방연마스크, 유니폼",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
사회복지법인 한국노인생활지원재단,02-921-4555,"서울특별시 동대문구 한천로14길 71, 2층(장안동)","근무복, 작업복 및 유사의복 제조업 외 9 종","의류, 그외 기타 의복액세서리 제조",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
삼덕상사,02-2265-9830,"서울특별시 동대문구 왕산로 60, 1층(용두동)",기타 조명장치 제조업 외 2 종,"조명 전동장치, 무대기계",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
삼성과학,02-926-5052,"서울특별시 동대문구 천호대로7길 53, (1층)우측 (신설동)","레이더, 항행용 무선기기 및 측량기구 제조업",우량측정기기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
삼우자수,02-2216-6773,서울특별시 동대문구 한천로 162 (장안동),자수제품 및 자수용재료 제조업 외 1 종,자수제품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
삼정터보,02-2242-2242,"서울특별시 동대문구 한천로2길 16, 5층(장안동)",자동차 엔진용 신품 부품 제조업 외 1 종,자동차용 터보차저 재생산,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
선욱S&K,02-2248-9610,서울특별시 동대문구 답십리로 145-1 (답십리동),"근무복, 작업복 및 유사의복 제조업 외 2 종",여성브라우스,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
성원엔지니어링,02-922-3724,"서울특별시 동대문구 천호대로 96, 1층 (용두동)",구조용 금속 판제품 및 공작물 제조업,수도계량기함 등 철구조물,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
성환섬유,02-962-4848,서울특별시 동대문구 천호대로31길 78 (용두동),그 외 기타 분류 안된 섬유제품 제조업,여성내의,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
세경컴퍼니,02-6452-0207,"서울특별시 동대문구 전농로 80, 지층(답십리동)",남자용 겉옷 제조업 외 7 종,"의류, 잡화",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
세우테크노산업(주),02-2243-0114,서울특별시 동대문구 천호대로 433 (장안동),방송장비 제조업 외 2 종,방송장비 및 전자제품제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
승우나염,02-2243-9596,"서울특별시 동대문구 답십리로41길 33, 답십리대우아파트상가 B101호(답십리동, 답십리대우아파트)",스크린 인쇄업 외 1 종,의류 인쇄품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
시조사,02-3299-5311,"서울특별시 동대문구 이문로1길 11 (회기동, 시조사)",잡지 및 정기간행물 발행업 외 2 종,종교서적,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
신양실업,02-2245-2251,"서울특별시 동대문구 사가정로23나길 6, 3층 (장안동)",자수제품 및 자수용재료 제조업 외 1 종,기계자수,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
신원물산(주),02-2248-4181,서울특별시 동대문구 답십리로64길 85-3 (장안동),그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,브러쉬제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
썸메이드 주식회사,02-2278-7705,"서울특별시 동대문구 사가정로 238-4, 3층 (장안동)","근무복, 작업복 및 유사의복 제조업 외 25 종","근무복,작업복 등 의류",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
아이엠모드,02-2217-0802,서울특별시 동대문구 고산자로 415 (용두동),"근무복, 작업복 및 유사의복 제조업 외 12 종",의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
아이원부엌가구,02-3437-4045,"서울특별시 동대문구 한천로 97, 지하1층 (답십리동)",주방용 및 음식점용 목재가구 제조업 외 1 종,"가구,주방가구,수납가구",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
아크원(ARC1),070-7625-7879,"서울특별시 동대문구 회기로31길 13, 지층 (휘경동)","근무복, 작업복 및 유사의복 제조업 외 1 종",앞치마 등 주방용품,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
아트스페이스 조형연구소,010-3868-****,서울특별시 동대문구 무학로23길 9 (용두동),간판 및 광고물 제조업,조형물,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
아트인스페이스,02-960-7006,서울특별시 동대문구 제기로38길 13 (청량리동) 202호,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,조형물,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
에스엠 이앤씨(SMENC 영광사),02-6407-5781,"서울특별시 동대문구 한천로 42, 1층 120, 121, 122, 123호(장안동, 위더스빌)",기타 음향기기 제조업,스피커 등,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
영진문화사,02-929-0070,"서울특별시 동대문구 천호대로13길 36, 2층 (용두동)",커튼 및 유사제품 제조업 외 2 종,"간판, 안내판",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
옷만드는 사람들,010-9119-****,서울특별시 동대문구 왕산로7길 15-9 (신설동),"근무복, 작업복 및 유사의복 제조업 외 6 종","단체복, 의료용 가운 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
우영메카(주),02-2269-9498,"서울특별시 동대문구 천호대로 263, 구)497-67 부룡빌딩10층 (답십리동) (총 2 필지) 외 1필지",전기경보 및 신호장치 제조업 외 1 종,"신호관제,주차관제 장치",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
원진앤지협동조합(won-jin&G),02-953-9984,"서울특별시 동대문구 답십리로38길 19, 공동제조사업장 4층 (답십리동)",남자용 겉옷 제조업 외 4 종,작업복 및 유사의복,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
유나이트시스템,02-3291-1626,서울특별시 동대문구 용두동 232번지 40호,유선 통신장비 제조업 외 2 종,전자통신장비,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
유니아트,02-928-5402,"서울특별시 동대문구 무학로34길 31, 두영빌딩(2층) (용두동)","근무복, 작업복 및 유사의복 제조업 외 2 종","근무복,남자점퍼 제조업",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
유신나염,02-926-2458,"서울특별시 동대문구 용두동 129-224번지 지층,1층",날염 가공업,"보자기, 등산용손수건 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
은성어패럴,02-434-3234,"서울특별시 동대문구 사가정로 278, 3층(장안동, 원영빌딩)",남자용 겉옷 제조업 외 14 종,의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
이움,02-3394-8511,"서울특별시 동대문구 망우로21길 52, 춘태빌딩 B동 지하104호 (휘경동)","근무복, 작업복 및 유사의복 제조업 외 3 종","의류, 유니폼",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
일화콘트롤,02-909-1780,"서울특별시 동대문구 무학로45길 10, 1층 (용두동)",기기용 자동측정 및 제어장치 제조업,제어장치 제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
일흥제작소,02-923-5035,서울특별시 동대문구 무학로23길 22-9 (용두동),그 외 기타 일반목적용 기계 제조업 외 1 종,박스제작기계,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
장안두부,02-2245-9611,서울특별시 동대문구 답십리로64길 67 (장안동),두부 및 유사식품 제조업,두부,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
전농물산,02-2244-9739,서울특별시 동대문구 망우로18바길 3 (휘경동),침구 및 관련제품 제조업 외 8 종,의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
정한상사,02-927-0531,"서울특별시 동대문구 제기로 19-4, 1층 (제기동) 외 1필지",배전반 및 전기 자동제어반 제조업,자동조명제어기기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
제이앤비,02-2215-7529,"서울특별시 동대문구 답십리로 233, 2층 (답십리동)",모자 제조업,모자 제조업,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
제일문화사,02-921-7221,"서울특별시 동대문구 안암로 146-1, 1층(제기동)",제책업,인쇄 및 제본,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
제일영상,017-296-****,서울특별시 동대문구 전농로20길 30 (전농동),비디오 및 기타 영상기기 제조업 외 1 종,비디오 및 기타영상기기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
조아EMB,02-2215-1665,"서울특별시 동대문구 장한로 184, 2층 (장안동)",자수제품 및 자수용재료 제조업,카매트로고(차명),서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 가방일번지,02-932-5674,"서울특별시 동대문구 답십리로 238, 지하1층(장안동)",가방 및 기타 보호용 케이스 제조업,"학원가방, 에코백, 제품케이스 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 경도기업,02-755-5490,"서울특별시 동대문구 천호대로 57, 1층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 14 종","의류, 피복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 대성엔지니어링코퍼레이션,02-2216-2419,"서울특별시 동대문구 장한로25길 50, 지하 1층 (장안동, 대성빌딩)","물질 검사, 측정 및 분석기구 제조업 외 1 종",기체분석 랙,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
주식회사 라움커뮤니케이션,02-511-0423,"서울특별시 동대문구 약령서길 55, 2층(제기동)",전시용 모형 제조업 외 1 종,"기록물 복제, 복원, 실물모형",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
